Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny County District Attorney,22,19,0.8636363636363636,86.36363636363636,Allegheny,2015 Q2
Allegheny County Police Dept,133,122,0.9172932330827067,91.72932330827066,Allegheny,2015 Q2
Allegheny County Sheriff,73,70,0.958904109589041,95.8904109589041,Allegheny,2015 Q2
"Allegheny County, Housing Auth",8,8,1,100,Allegheny,2015 Q2
Aspinwall Boro Police Dept,4,4,1,100,Allegheny,2015 Q2
Avalon Boro Police Dept,15,14,0.9333333333333333,93.33333333333333,Allegheny,2015 Q2
Baldwin Police Dept,71,62,0.8732394366197183,87.32394366197182,Allegheny,2015 Q2
Baldwin Township Police Dept,12,10,0.8333333333333334,83.33333333333334,Allegheny,2015 Q2
Bell Acres Police Dept,2,2,1,100,Allegheny,2015 Q2
Bellevue Boro Police Dept,38,33,0.868421052631579,86.8421052631579,Allegheny,2015 Q2
Bethel Park Police Dept,68,65,0.9558823529411765,95.58823529411765,Allegheny,2015 Q2
Blawnox Boro Police Dept,,,,,,
Brackenridge Boro Police Dept,4,4,1,100,Allegheny,2015 Q2
Braddock Hills Boro Police Dept,9,7,0.7777777777777778,77.77777777777779,Allegheny,2015 Q2
"Braddock, Boro Of Police Dept",30,24,0.8,80,Allegheny,2015 Q2
Brentwood Boro Police Dept,99,88,0.8888888888888888,88.88888888888889,Allegheny,2015 Q2
Bridgeville Boro Police Dept,20,20,1,100,Allegheny,2015 Q2
Carlow University PD,,,,,,
"Carnegie Mellon, University PD",9,9,1,100,Allegheny,2015 Q2
Carnegie Police Dept,16,16,1,100,Allegheny,2015 Q2
Castle Shannon Police Dept,57,53,0.9298245614035088,92.98245614035088,Allegheny,2015 Q2
"Chatham, College PD",,,,,,
Cheswick Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Allegheny,2015 Q2
Churchill Boro Police Dept,8,6,0.75,75,Allegheny,2015 Q2
Clairton City Police Dept,50,45,0.9,90,Allegheny,2015 Q2
Collier Township Police Dept,35,33,0.9428571428571428,94.28571428571428,Allegheny,2015 Q2
Coraopolis Boro Police Dept,22,19,0.8636363636363636,86.36363636363636,Allegheny,2015 Q2
Crafton Borough Police Dept,55,53,0.9636363636363636,96.36363636363636,Allegheny,2015 Q2
Crescent Township Police Dept,6,6,1,100,Allegheny,2015 Q2
Dormont Police Dept,10,9,0.9,90,Allegheny,2015 Q2
Duquesne Police Dept,62,48,0.7741935483870968,77.41935483870968,Allegheny,2015 Q2
"Duquesne, University PD",2,2,1,100,Allegheny,2015 Q2
East Deer Township Police Dept,10,10,1,100,Allegheny,2015 Q2
East Mckeesport Police Dept,12,12,1,100,Allegheny,2015 Q2
East Pittsburgh Boro Police Dept,24,22,0.9166666666666666,91.66666666666666,Allegheny,2015 Q2
Edgewood Boro Police Dept,21,17,0.8095238095238095,80.95238095238095,Allegheny,2015 Q2
Edgeworth Dpt Police Dept,4,3,0.75,75,Allegheny,2015 Q2
Elizabeth Boro Police Dept,29,26,0.896551724137931,89.65517241379311,Allegheny,2015 Q2
Elizabeth Township Police Dept,25,19,0.76,76,Allegheny,2015 Q2
Etna Police Dept,21,16,0.7619047619047619,76.19047619047619,Allegheny,2015 Q2
Fawn Township Police Dept,5,5,1,100,Allegheny,2015 Q2
Findlay Township Police Dept,4,4,1,100,Allegheny,2015 Q2
Forest Hills Police Dept,12,10,0.8333333333333334,83.33333333333334,Allegheny,2015 Q2
Forward Township Police Dept,6,4,0.6666666666666666,66.66666666666666,Allegheny,2015 Q2
Fox Chapel Borough Police Dept,5,4,0.8,80,Allegheny,2015 Q2
Franklin Park Police Dept,17,15,0.8823529411764706,88.23529411764706,Allegheny,2015 Q2
Frazer Township Pd Police Dept,74,73,0.9864864864864865,98.64864864864865,Allegheny,2015 Q2
Glassport Police Dept,16,13,0.8125,81.25,Allegheny,2015 Q2
"Greene County, Detectives",,,,,,
Greentree Police Dept,31,29,0.9354838709677419,93.54838709677419,Allegheny,2015 Q2
Hampton Township Police Dept,52,50,0.9615384615384616,96.15384615384616,Allegheny,2015 Q2
Harmar Township Police Dept,38,37,0.9736842105263158,97.36842105263158,Allegheny,2015 Q2
Harrison Township Police Dept,32,31,0.96875,96.875,Allegheny,2015 Q2
Heidelberg Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Allegheny,2015 Q2
Homestead Police Dept,50,40,0.8,80,Allegheny,2015 Q2
Indiana Township Police Dept,9,9,1,100,Allegheny,2015 Q2
Ingram Borough Police Dept,11,10,0.9090909090909091,90.9090909090909,Allegheny,2015 Q2
Jefferson Hills Police Dept,26,23,0.8846153846153846,88.46153846153845,Allegheny,2015 Q2
Kennedy Township Police Dept,20,18,0.9,90,Allegheny,2015 Q2
Leet Township Police Dept,,,,,,
Leetsdale Police Dept,5,4,0.8,80,Allegheny,2015 Q2
Liberty Boro Police Dept,7,5,0.7142857142857143,71.42857142857143,Allegheny,2015 Q2
Lincoln Boro Police Dept,8,7,0.875,87.5,Allegheny,2015 Q2
Mccandless Police Dept,23,22,0.9565217391304348,95.65217391304348,Allegheny,2015 Q2
McDonald Boro Police Dept,1,1,1,100,Allegheny,2015 Q2
Mckees Rocks Police Dept,91,80,0.8791208791208791,87.91208791208791,Allegheny,2015 Q2
Mckeesport Police Dept,139,124,0.8920863309352518,89.20863309352518,Allegheny,2015 Q2
Millvale Police Dept,32,30,0.9375,93.75,Allegheny,2015 Q2
Monroeville Police Dept,111,96,0.8648648648648649,86.48648648648648,Allegheny,2015 Q2
Moon Township Police Dept,66,63,0.9545454545454546,95.45454545454545,Allegheny,2015 Q2
Mt Lebanon Police Dept,52,47,0.9038461538461539,90.38461538461539,Allegheny,2015 Q2
Mt Oliver Boro Police Dept,80,75,0.9375,93.75,Allegheny,2015 Q2
Munhall Police Dept,43,36,0.8372093023255814,83.72093023255815,Allegheny,2015 Q2
N Braddock Boro Police Dept,29,26,0.896551724137931,89.65517241379311,Allegheny,2015 Q2
