Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Crafton Borough Police Dept,53,50,0.9433962264150944,94.33962264150944,Allegheny,2015 Q3
Ohio Township Police Dept,43,37,0.8604651162790697,86.04651162790698,Allegheny,2015 Q3
Pleasant Hills Police Dept,50,30,0.6,60,Allegheny,2015 Q3
Sewickley Boro Police Dept,6,4,0.6666666666666666,66.66666666666666,Allegheny,2015 Q3
Trafford Boro Police Dept,2,2,1,100,Allegheny,2015 Q3
O'hara Township Police Dept,10,10,1,100,Allegheny,2015 Q3
Edgeworth Dpt Police Dept,4,4,1,100,Allegheny,2015 Q3
Springdale Boro Police Dept,19,19,1,100,Allegheny,2015 Q3
West Mifflin Police Dept,155,133,0.8580645161290322,85.80645161290322,Allegheny,2015 Q3
Turtle Creek Police Dept,29,23,0.7931034482758621,79.3103448275862,Allegheny,2015 Q3
Leetsdale Police Dept,7,6,0.8571428571428571,85.71428571428571,Allegheny,2015 Q3
Univ Of Pittsburgh Police Dept,56,48,0.8571428571428571,85.71428571428571,Allegheny,2015 Q3
Homestead Police Dept,85,76,0.8941176470588236,89.41176470588236,Allegheny,2015 Q3
McDonald Boro Police Dept,1,1,1,100,Allegheny,2015 Q3
Northern Regl Pd Police Dept,48,46,0.9583333333333334,95.83333333333334,Allegheny,2015 Q3
Stowe Township Police Dept,86,83,0.9651162790697675,96.51162790697676,Allegheny,2015 Q3
Elizabeth Township Police Dept,23,15,0.6521739130434783,65.21739130434783,Allegheny,2015 Q3
North Versailles Police Dept,116,109,0.9396551724137931,93.96551724137932,Allegheny,2015 Q3
Collier Township Police Dept,36,35,0.9722222222222222,97.22222222222221,Allegheny,2015 Q3
Pittsburgh School Police Dept,4,4,1,100,Allegheny,2015 Q3
South Park Tn Police Dept,23,21,0.9130434782608695,91.30434782608695,Allegheny,2015 Q3
Brentwood Boro Police Dept,93,80,0.8602150537634409,86.02150537634408,Allegheny,2015 Q3
Allegheny County Police Dept,171,160,0.935672514619883,93.56725146198829,Allegheny,2015 Q3
Greentree Police Dept,19,17,0.8947368421052632,89.47368421052632,Allegheny,2015 Q3
Franklin Park Police Dept,15,14,0.9333333333333333,93.33333333333333,Allegheny,2015 Q3
Churchill Boro Police Dept,12,11,0.9166666666666666,91.66666666666666,Allegheny,2015 Q3
Fox Chapel Borough Police Dept,3,3,1,100,Allegheny,2015 Q3
Whitehall Boro Police Dept,19,15,0.7894736842105263,78.94736842105263,Allegheny,2015 Q3
Point Park University Police Dept,2,2,1,100,Allegheny,2015 Q3
Mccandless Police Dept,35,30,0.8571428571428571,85.71428571428571,Allegheny,2015 Q3
Scott Township Police Dept,47,43,0.9148936170212766,91.48936170212765,Allegheny,2015 Q3
Oakmont Boro Police Dept,18,18,1,100,Allegheny,2015 Q3
Shaler Police Dept,40,34,0.85,85,Allegheny,2015 Q3
Verona Boro Police Dept,21,17,0.8095238095238095,80.95238095238095,Allegheny,2015 Q3
Swissvale Police Dept,55,49,0.8909090909090909,89.0909090909091,Allegheny,2015 Q3
Jefferson Hills Police Dept,33,29,0.8787878787878788,87.87878787878788,Allegheny,2015 Q3
Pittsburgh Police Dept,2008,1775,0.8839641434262948,88.39641434262948,Allegheny,2015 Q3
Wilkinsburg Police Dept,97,81,0.8350515463917526,83.50515463917526,Allegheny,2015 Q3
Harrison Township Police Dept,18,18,1,100,Allegheny,2015 Q3
Heidelberg Boro Police Dept,8,8,1,100,Allegheny,2015 Q3
Castle Shannon Police Dept,38,37,0.9736842105263158,97.36842105263158,Allegheny,2015 Q3
Bethel Park Police Dept,98,93,0.9489795918367347,94.89795918367348,Allegheny,2015 Q3
East Mckeesport Police Dept,20,19,0.95,95,Allegheny,2015 Q3
Avalon Boro Police Dept,16,13,0.8125,81.25,Allegheny,2015 Q3
East Pittsburgh Boro Police Dept,25,20,0.8,80,Allegheny,2015 Q3
Indiana Township Police Dept,9,9,1,100,Allegheny,2015 Q3
Bell Acres Police Dept,3,3,1,100,Allegheny,2015 Q3
Monroeville Police Dept,145,127,0.8758620689655172,87.58620689655172,Allegheny,2015 Q3
Sharpsburg Boro Police Dept,27,25,0.9259259259259259,92.5925925925926,Allegheny,2015 Q3
"Braddock, Boro Of Police Dept",35,29,0.8285714285714286,82.85714285714286,Allegheny,2015 Q3
Munhall Police Dept,53,44,0.8301886792452831,83.01886792452831,Allegheny,2015 Q3
Glassport Police Dept,29,23,0.7931034482758621,79.3103448275862,Allegheny,2015 Q3
Mt Oliver Boro Police Dept,100,77,0.77,77,Allegheny,2015 Q3
Coraopolis Boro Police Dept,33,29,0.8787878787878788,87.87878787878788,Allegheny,2015 Q3
White Oak Boro Police Dept,33,28,0.8484848484848485,84.84848484848484,Allegheny,2015 Q3
"Allegheny County, Housing Auth",6,6,1,100,Allegheny,2015 Q3
Findlay Township Police Dept,8,7,0.875,87.5,Allegheny,2015 Q3
Hampton Township Police Dept,55,46,0.8363636363636363,83.63636363636363,Allegheny,2015 Q3
N Braddock Boro Police Dept,23,18,0.782608695652174,78.26086956521739,Allegheny,2015 Q3
Crescent Township Police Dept,5,5,1,100,Allegheny,2015 Q3
Dormont Police Dept,34,33,0.9705882352941176,97.05882352941177,Allegheny,2015 Q3
Harmar Township Police Dept,39,39,1,100,Allegheny,2015 Q3
Baldwin Township Police Dept,1,1,1,100,Allegheny,2015 Q3
Port Authority Police Dept,111,103,0.9279279279279279,92.7927927927928,Allegheny,2015 Q3
Versailles Boro Police Dept,6,4,0.6666666666666666,66.66666666666666,Allegheny,2015 Q3
Bellevue Boro Police Dept,60,56,0.9333333333333333,93.33333333333333,Allegheny,2015 Q3
East Deer Township Police Dept,10,10,1,100,Allegheny,2015 Q3
Millvale Police Dept,23,22,0.9565217391304348,95.65217391304348,Allegheny,2015 Q3
Brackenridge Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Allegheny,2015 Q3
Kennedy Township Police Dept,26,23,0.8846153846153846,88.46153846153845,Allegheny,2015 Q3
Baldwin Police Dept,80,72,0.9,90,Allegheny,2015 Q3
Frazer Township Pd Police Dept,90,86,0.9555555555555556,95.55555555555556,Allegheny,2015 Q3
Tarentum Boro Police Dept,14,14,1,100,Allegheny,2015 Q3
Reserve Township Police Dept,7,7,1,100,Allegheny,2015 Q3
N Fayette Township Police Dept,36,34,0.9444444444444444,94.44444444444444,Allegheny,2015 Q3
Clairton City Police Dept,64,43,0.671875,67.1875,Allegheny,2015 Q3
Rankin Boro Police Dept,16,16,1,100,Allegheny,2015 Q3
Whitaker Police Dept,9,9,1,100,Allegheny,2015 Q3
Wilkins Township Police Dept,14,10,0.7142857142857143,71.42857142857143,Allegheny,2015 Q3
Bridgeville Boro Police Dept,29,28,0.9655172413793104,96.55172413793103,Allegheny,2015 Q3
Oakdale Police Dept,4,4,1,100,Allegheny,2015 Q3
Fawn Township Police Dept,2,1,0.5,50,Allegheny,2015 Q3
Penn Hills Police Dept,140,126,0.9,90,Allegheny,2015 Q3
Mt Lebanon Police Dept,63,57,0.9047619047619048,90.47619047619048,Allegheny,2015 Q3
"Carnegie Mellon, University PD",8,8,1,100,Allegheny,2015 Q3
Carnegie Police Dept,32,31,0.96875,96.875,Allegheny,2015 Q3
Lincoln Boro Police Dept,5,4,0.8,80,Allegheny,2015 Q3
Elizabeth Boro Police Dept,18,17,0.9444444444444444,94.44444444444444,Allegheny,2015 Q3
Springdale Township Police Dept,8,8,1,100,Allegheny,2015 Q3
Port Vue Police Dept,6,4,0.6666666666666666,66.66666666666666,Allegheny,2015 Q3
Allegheny County District Attorney,29,27,0.9310344827586207,93.10344827586206,Allegheny,2015 Q3
Other,1,0,0,0,Allegheny,2015 Q3
Robinson Township Police Dept,92,85,0.9239130434782609,92.3913043478261,Allegheny,2015 Q3
Mckeesport Police Dept,197,180,0.9137055837563451,91.37055837563452,Allegheny,2015 Q3
Moon Township Police Dept,80,75,0.9375,93.75,Allegheny,2015 Q3
Sewickley Hgts Police Dept,2,2,1,100,Allegheny,2015 Q3
Pitcairn Police Dept,50,41,0.82,82,Allegheny,2015 Q3
Forest Hills Police Dept,19,17,0.8947368421052632,89.47368421052632,Allegheny,2015 Q3
West Deer Township Police Dept,19,18,0.9473684210526315,94.73684210526315,Allegheny,2015 Q3
West Homestead Police Dept,7,5,0.7142857142857143,71.42857142857143,Allegheny,2015 Q3
Mckees Rocks Police Dept,73,68,0.9315068493150684,93.15068493150685,Allegheny,2015 Q3
Ross Township Police Dept,105,94,0.8952380952380953,89.52380952380953,Allegheny,2015 Q3
Duquesne Police Dept,50,43,0.86,86,Allegheny,2015 Q3
Braddock Hills Boro Police Dept,10,10,1,100,Allegheny,2015 Q3
Upper St Clair Police Dept,21,19,0.9047619047619048,90.47619047619048,Allegheny,2015 Q3
Etna Police Dept,25,19,0.76,76,Allegheny,2015 Q3
Ingram Borough Police Dept,12,12,1,100,Allegheny,2015 Q3
Allegheny County Sheriff,59,59,1,100,Allegheny,2015 Q3
Cheswick Boro Police Dept,8,8,1,100,Allegheny,2015 Q3
Plum Boro Police Dept,59,55,0.9322033898305084,93.22033898305084,Allegheny,2015 Q3
Liberty Boro Police Dept,3,3,1,100,Allegheny,2015 Q3
Edgewood Boro Police Dept,17,16,0.9411764705882353,94.11764705882352,Allegheny,2015 Q3
West View Boro Police Dept,39,34,0.8717948717948718,87.17948717948718,Allegheny,2015 Q3
S Fayette Township Police Dept,20,19,0.95,95,Allegheny,2015 Q3
Forward Township Police Dept,6,2,0.3333333333333333,33.33333333333333,Allegheny,2015 Q3
Aspinwall Boro Police Dept,5,5,1,100,Allegheny,2015 Q3
