Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Apollo Boro Police Dept,8,7,0.875,87.5,Armstrong,2015 Q3
Armstrong County District Attorney,9,6,0.6666666666666666,66.66666666666666,Armstrong,2015 Q3
Armstrong County Sheriff,3,3,1,100,Armstrong,2015 Q3
"Armstrong County, Detectives",8,8,1,100,Armstrong,2015 Q3
East Franklin Township Police Dept,8,7,0.875,87.5,Armstrong,2015 Q3
Elderton Borough Police Dept,1,1,1,100,Armstrong,2015 Q3
Ford City Boro Police Dept,15,9,0.6,60,Armstrong,2015 Q3
Freeport Boro Police Dept,1,1,1,100,Armstrong,2015 Q3
Gilpin Township Police Dept,9,1,0.1111111111111111,11.11111111111111,Armstrong,2015 Q3
Kiskiminetas Township Police Dept,15,12,0.8,80,Armstrong,2015 Q3
Kittanning Boro Police Dept,30,17,0.5666666666666667,56.666666666666664,Armstrong,2015 Q3
Leechburg Boro Police Dept,7,4,0.5714285714285714,57.14285714285714,Armstrong,2015 Q3
Manor Township Police Dept,3,0,0,0,Armstrong,2015 Q3
New Bethlehem Boro Police Dept,7,0,0,0,Armstrong,2015 Q3
North Buffalo Police Dept,,,,,,
Parker City Police Dept,1,1,1,100,Armstrong,2015 Q3
Parks Township Police Dept,7,4,0.5714285714285714,57.14285714285714,Armstrong,2015 Q3
South Buffalo Township Police Dept,2,2,1,100,Armstrong,2015 Q3
West Kittanning Police Dept,2,1,0.5,50,Armstrong,2015 Q3
Worthington Boro Police Dept,1,1,1,100,Armstrong,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
