Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Apollo Boro Police Dept,7,5,0.7142857142857143,71.42857142857143,Armstrong,2015 Q1
Armstrong County District Attorney,10,1,0.1,10,Armstrong,2015 Q1
"Armstrong County, Detectives",13,4,0.3076923076923077,30.76923076923077,Armstrong,2015 Q1
East Franklin Township Police Dept,22,12,0.5454545454545454,54.54545454545454,Armstrong,2015 Q1
Elderton Borough Police Dept,1,1,1,100,Armstrong,2015 Q1
Ford City Boro Police Dept,12,7,0.5833333333333334,58.333333333333336,Armstrong,2015 Q1
Freeport Boro Police Dept,2,0,0,0,Armstrong,2015 Q1
Gilpin Township Police Dept,12,2,0.16666666666666666,16.666666666666664,Armstrong,2015 Q1
Kiskiminetas Township Police Dept,19,17,0.8947368421052632,89.47368421052632,Armstrong,2015 Q1
Kittanning Boro Police Dept,36,12,0.3333333333333333,33.33333333333333,Armstrong,2015 Q1
Leechburg Boro Police Dept,12,9,0.75,75,Armstrong,2015 Q1
Manor Township Police Dept,2,0,0,0,Armstrong,2015 Q1
New Bethlehem Boro Police Dept,6,0,0,0,Armstrong,2015 Q1
North Buffalo Police Dept,1,1,1,100,Armstrong,2015 Q1
Parks Township Police Dept,8,2,0.25,25,Armstrong,2015 Q1
West Kittanning Police Dept,6,1,0.16666666666666666,16.666666666666664,Armstrong,2015 Q1
