Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Aliquippa City Police Dept,72,71,0.9861111111111112,98.61111111111111,Beaver,2015 Q1
Ambridge Boro Police Dept,57,56,0.9824561403508771,98.24561403508771,Beaver,2015 Q1
Baden Boro Police Dept,17,16,0.9411764705882353,94.11764705882352,Beaver,2015 Q1
Beaver Boro Police Dept,8,8,1,100,Beaver,2015 Q1
Beaver County Sheriff,5,5,1,100,Beaver,2015 Q1
"Beaver County, Detectives",8,7,0.875,87.5,Beaver,2015 Q1
Beaver Falls Police Dept,86,81,0.9418604651162791,94.18604651162791,Beaver,2015 Q1
Bridgewater Police Dept,5,5,1,100,Beaver,2015 Q1
Brighton Township Police Dept,13,13,1,100,Beaver,2015 Q1
Center Township Police Dept,91,87,0.9560439560439561,95.6043956043956,Beaver,2015 Q1
Chippewa Township Police Dept,48,47,0.9791666666666666,97.91666666666666,Beaver,2015 Q1
Conway Boro Police Dept,16,16,1,100,Beaver,2015 Q1
Darlington Township Police Dept,2,2,1,100,Beaver,2015 Q1
Economy Boro Police Dept,20,20,1,100,Beaver,2015 Q1
Ellwood City Boro Police Dept,3,3,1,100,Beaver,2015 Q1
Franklin Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Beaver,2015 Q1
Freedom Borough Police Dept,4,4,1,100,Beaver,2015 Q1
Harmony Township Police Dept,16,15,0.9375,93.75,Beaver,2015 Q1
Hopewell Township Police Dept,31,29,0.9354838709677419,93.54838709677419,Beaver,2015 Q1
Independence Township Police Dept,1,1,1,100,Beaver,2015 Q1
Koppel Boro Police Dept,2,2,1,100,Beaver,2015 Q1
Marion Township Police Dept,1,1,1,100,Beaver,2015 Q1
Midland Boro Police Dept,31,31,1,100,Beaver,2015 Q1
Monaca Boro Police Dept,31,31,1,100,Beaver,2015 Q1
New Brighton Police Dept,56,55,0.9821428571428571,98.21428571428571,Beaver,2015 Q1
New Sewickley Township Police Dept,19,19,1,100,Beaver,2015 Q1
North Sewickley Township Police Dept,16,16,1,100,Beaver,2015 Q1
Ohioville Boro Police Dept,4,4,1,100,Beaver,2015 Q1
Patterson Township Police Dept,17,17,1,100,Beaver,2015 Q1
Penn State Univer Police Dept,1,1,1,100,Beaver,2015 Q1
Raccoon Township Police Dept,2,2,1,100,Beaver,2015 Q1
Rochester Borough Police Dept,75,71,0.9466666666666667,94.66666666666667,Beaver,2015 Q1
Rochester Township Police Dept,9,9,1,100,Beaver,2015 Q1
Shippingport Boro Police Dept,,,,,Beaver,
South Beaver Township Police Dept,2,2,1,100,Beaver,2015 Q1
South Heights Boro Police Dept,,,,,Beaver,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
