Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Aliquippa City Police Dept,53,50,0.9433962264150944,94.33962264150944,Beaver,2015 Q4
Ambridge Boro Police Dept,59,57,0.9661016949152542,96.61016949152543,Beaver,2015 Q4
Baden Boro Police Dept,20,20,1,100,Beaver,2015 Q4
Beaver Boro Police Dept,14,13,0.9285714285714286,92.85714285714286,Beaver,2015 Q4
Beaver County Sheriff,5,5,1,100,Beaver,2015 Q4
"Beaver County, Detectives",2,2,1,100,Beaver,2015 Q4
Beaver Falls Police Dept,80,73,0.9125,91.25,Beaver,2015 Q4
Bridgewater Police Dept,6,6,1,100,Beaver,2015 Q4
Brighton Township Police Dept,8,8,1,100,Beaver,2015 Q4
Center Township Police Dept,82,80,0.975609756097561,97.5609756097561,Beaver,2015 Q4
Chippewa Township Police Dept,43,43,1,100,Beaver,2015 Q4
Conway Boro Police Dept,23,23,1,100,Beaver,2015 Q4
Darlington Township Police Dept,2,2,1,100,Beaver,2015 Q4
Economy Boro Police Dept,52,50,0.9615384615384616,96.15384615384616,Beaver,2015 Q4
Franklin Township Police Dept,12,12,1,100,Beaver,2015 Q4
Freedom Borough Police Dept,5,5,1,100,Beaver,2015 Q4
Harmony Township Police Dept,21,21,1,100,Beaver,2015 Q4
Hopewell Township Police Dept,32,32,1,100,Beaver,2015 Q4
Independence Township Police Dept,3,3,1,100,Beaver,2015 Q4
Koppel Boro Police Dept,3,3,1,100,Beaver,2015 Q4
Marion Township Police Dept,2,2,1,100,Beaver,2015 Q4
Midland Boro Police Dept,30,30,1,100,Beaver,2015 Q4
Monaca Boro Police Dept,53,53,1,100,Beaver,2015 Q4
New Brighton Police Dept,69,67,0.9710144927536232,97.10144927536231,Beaver,2015 Q4
New Sewickley Township Police Dept,48,47,0.9791666666666666,97.91666666666666,Beaver,2015 Q4
North Sewickley Township Police Dept,19,18,0.9473684210526315,94.73684210526315,Beaver,2015 Q4
Ohioville Boro Police Dept,9,9,1,100,Beaver,2015 Q4
Patterson Township Police Dept,24,22,0.9166666666666666,91.66666666666666,Beaver,2015 Q4
Raccoon Township Police Dept,6,6,1,100,Beaver,2015 Q4
Rochester Borough Police Dept,80,80,1,100,Beaver,2015 Q4
Rochester Township Police Dept,24,24,1,100,Beaver,2015 Q4
South Beaver Township Police Dept,10,8,0.8,80,Beaver,2015 Q4
South Heights Boro Police Dept,1,1,1,100,Beaver,2015 Q4
