Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bethel Township Police Dept,11,9,0.8181818181818182,81.81818181818183,Berks,2015 Q3
Birdsboro Boro Police Dept,9,7,0.7777777777777778,77.77777777777779,Berks,2015 Q3
Cumru Township Police Dept,36,34,0.9444444444444444,94.44444444444444,Berks,2015 Q3
Hamburg Boro Police Dept,15,13,0.8666666666666667,86.66666666666667,Berks,2015 Q3
Norfolk Southern Police Dept,1,1,1,100,Berks,2015 Q3
Northern Berks Police Dept,31,30,0.967741935483871,96.7741935483871,Berks,2015 Q3
"Penn State, University PD",5,5,1,100,Berks,2015 Q3
Tulpehocken Township Police Dept,1,1,1,100,Berks,2015 Q3
Womelsdorf Boro Police Dept,4,4,1,100,Berks,2015 Q3
Wyomissing Boro Police Dept,77,63,0.8181818181818182,81.81818181818183,Berks,2015 Q3
Berks County District Attorney,70,69,0.9857142857142858,98.57142857142858,Berks,2015 Q3
Bern Township Police Dept,14,14,1,100,Berks,2015 Q3
Brecknock Township Police Dept,11,11,1,100,Berks,2015 Q3
Caernarvon Township Police Dept,15,15,1,100,Berks,2015 Q3
Central Berks Region Police Dept,22,19,0.8636363636363636,86.36363636363636,Berks,2015 Q3
Colebrookdale Township Police Dept,23,22,0.9565217391304348,95.65217391304348,Berks,2015 Q3
Exeter Township Police Dept,126,107,0.8492063492063492,84.92063492063492,Berks,2015 Q3
Fleetwood Boro Police Dept,14,12,0.8571428571428571,85.71428571428571,Berks,2015 Q3
"Kutztown, University PD",6,6,1,100,Berks,2015 Q3
Laureldale Boro Police Dept,12,11,0.9166666666666666,91.66666666666666,Berks,2015 Q3
Lower Heidelberg Township Police Dept,6,6,1,100,Berks,2015 Q3
Muhlenberg Township Police Dept,139,132,0.9496402877697842,94.96402877697841,Berks,2015 Q3
Robeson Police Dept,13,12,0.9230769230769231,92.3076923076923,Berks,2015 Q3
Sinking Springs Boro Police Dept,18,16,0.8888888888888888,88.88888888888889,Berks,2015 Q3
West Reading Boro Police Dept,58,40,0.6896551724137931,68.96551724137932,Berks,2015 Q3
Western Berks Regional Police Dept.,14,14,1,100,Berks,2015 Q3
Amity Township Police Dept,29,27,0.9310344827586207,93.10344827586206,Berks,2015 Q3
Berks County Sheriff,7,6,0.8571428571428571,85.71428571428571,Berks,2015 Q3
Boyertown Police Dept,20,19,0.95,95,Berks,2015 Q3
Douglass Township Police Dept,7,7,1,100,Berks,2015 Q3
Kutztown Boro Police Dept,21,19,0.9047619047619048,90.47619047619048,Berks,2015 Q3
Mohnton Boro Police Dept,6,6,1,100,Berks,2015 Q3
Oley Township Police Dept,2,2,1,100,Berks,2015 Q3
Reading City Police Dept,657,566,0.8614916286149162,86.14916286149162,Berks,2015 Q3
Shillington Boro Police Dept,20,17,0.85,85,Berks,2015 Q3
South Heidelberg Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Berks,2015 Q3
Spring Township Police Dept,60,58,0.9666666666666667,96.66666666666667,Berks,2015 Q3
Tilden Township Police Dept,7,7,1,100,Berks,2015 Q3
