Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny Township Police Dept,80,63,0.7875,78.75,Blair,2015 Q3
Altoona Area SD Police Dept,,,,,,
Altoona Police Dept,452,376,0.831858407079646,83.1858407079646,Blair,2015 Q3
Bellwood Boro Police Dept,2,2,1,100,Blair,2015 Q3
Blair County District Attorney,,,,,,
Blair County Sheriff,5,3,0.6,60,Blair,2015 Q3
Blair Township Police Dept,5,4,0.8,80,Blair,2015 Q3
Duncansville Boro Police Dept,7,4,0.5714285714285714,57.14285714285714,Blair,2015 Q3
Freedom Township Police Dept,37,35,0.9459459459459459,94.5945945945946,Blair,2015 Q3
Greenfield Township Police Dept,24,20,0.8333333333333334,83.33333333333334,Blair,2015 Q3
Hollidaysburg Boro Police Dept,16,12,0.75,75,Blair,2015 Q3
Logan Township Police Dept,71,63,0.8873239436619719,88.73239436619718,Blair,2015 Q3
Martinsburg Boro Police Dept,4,3,0.75,75,Blair,2015 Q3
Norfolk Southern Police Dept,,,,,,
North Woodbury Township Police Dept,1,1,1,100,Blair,2015 Q3
"Penn State, University PD",1,0,0,0,Blair,2015 Q3
Roaring Spring Boro Police Dept,5,5,1,100,Blair,2015 Q3
Tyrone Boro Police Dept,25,20,0.8,80,Blair,2015 Q3
Williamsburg Boro Police Dept,1,1,1,100,Blair,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
