Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bedminster Township Police Dept,16,16,1,100,Bucks,2015 Q1
Bensalem Township Police Dept,516,480,0.9302325581395349,93.02325581395348,Bucks,2015 Q1
Bristol Boro Police Dept,19,15,0.7894736842105263,78.94736842105263,Bucks,2015 Q1
Bristol Township Police Dept,173,143,0.8265895953757225,82.65895953757226,Bucks,2015 Q1
Buckingham Township Police Dept,24,21,0.875,87.5,Bucks,2015 Q1
Bucks County Prison,7,7,1,100,Bucks,2015 Q1
Bucks County Sheriff,1,1,1,100,Bucks,2015 Q1
"Bucks County, Detectives",17,16,0.9411764705882353,94.11764705882352,Bucks,2015 Q1
"Bucks County, Rangers",6,6,1,100,Bucks,2015 Q1
Central Bucks Regional Police,65,60,0.9230769230769231,92.3076923076923,Bucks,2015 Q1
Chalfont Boro Police Dept,17,14,0.8235294117647058,82.35294117647058,Bucks,2015 Q1
Doylestown Boro Police Dept,,,,,Bucks,
Doylestown Township Police Dept,40,40,1,100,Bucks,2015 Q1
Dublin Boro Police Dept,6,6,1,100,Bucks,2015 Q1
Falls Township Police Dept,148,132,0.8918918918918919,89.1891891891892,Bucks,2015 Q1
Hilltown Township Police Dept,64,54,0.84375,84.375,Bucks,2015 Q1
Hulmeville Boro Police Dept,1,0,0,0,Bucks,2015 Q1
Langhorne Boro Police Dept,7,7,1,100,Bucks,2015 Q1
Langhorne Manor Police Dept,1,1,1,100,Bucks,2015 Q1
Lower Makefield Police Dept,61,52,0.8524590163934426,85.24590163934425,Bucks,2015 Q1
Lower Southampton Police Dept,54,50,0.9259259259259259,92.5925925925926,Bucks,2015 Q1
Middletown Township Police Dept,165,154,0.9333333333333333,93.33333333333333,Bucks,2015 Q1
Morrisville Boro Police Dept,70,63,0.9,90,Bucks,2015 Q1
New Britain Boro Police Dept,,,,,Bucks,
New Britain Township Police Dept,20,19,0.95,95,Bucks,2015 Q1
New Hope Boro Police Dept,17,17,1,100,Bucks,2015 Q1
Newtown Boro Police Dept,9,9,1,100,Bucks,2015 Q1
Newtown Township Police Dept,41,39,0.9512195121951219,95.1219512195122,Bucks,2015 Q1
Northampton Township Police Dept,42,40,0.9523809523809523,95.23809523809523,Bucks,2015 Q1
Penndel Boro Police Dept,11,8,0.7272727272727273,72.72727272727273,Bucks,2015 Q1
Pennridge Regional Police Dept,12,11,0.9166666666666666,91.66666666666666,Bucks,2015 Q1
Perkasie Boro Police Dept,39,35,0.8974358974358975,89.74358974358975,Bucks,2015 Q1
Plumstead Township Police Dept,23,19,0.8260869565217391,82.6086956521739,Bucks,2015 Q1
Quakertown Boro Police Dept,58,57,0.9827586206896551,98.27586206896551,Bucks,2015 Q1
Richland Township Police Dept,61,56,0.9180327868852459,91.80327868852459,Bucks,2015 Q1
Solebury Township Police Dept,8,5,0.625,62.5,Bucks,2015 Q1
Springfield Township Police Dept,4,3,0.75,75,Bucks,2015 Q1
Telford Boro Police Dept,7,5,0.7142857142857143,71.42857142857143,Bucks,2015 Q1
Tinicum Township Police Dept,9,9,1,100,Bucks,2015 Q1
Tullytown Borough Police Dept,100,93,0.93,93,Bucks,2015 Q1
Upper Dublin Township Police Dept,,,,,Bucks,
Upper Makefield Police Dept,8,7,0.875,87.5,Bucks,2015 Q1
Upper Southampton Police Dept,55,53,0.9636363636363636,96.36363636363636,Bucks,2015 Q1
Warminster Township Police Dept,121,116,0.9586776859504132,95.86776859504133,Bucks,2015 Q1
Warrington Township Police Dept,99,91,0.9191919191919192,91.91919191919192,Bucks,2015 Q1
Warwick Township Police Dept,36,35,0.9722222222222222,97.22222222222221,Bucks,2015 Q1
Yardley Boro Police Dept,9,7,0.7777777777777778,77.77777777777779,Bucks,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
