Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bristol Township Police Dept,132,122,0.9242424242424242,92.42424242424242,Bucks,2015 Q3
Bucks County Sheriff,1,1,1,100,Bucks,2015 Q3
"Bucks County, Detectives",12,12,1,100,Bucks,2015 Q3
Doylestown Township Police Dept,37,34,0.918918918918919,91.8918918918919,Bucks,2015 Q3
Hulmeville Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Bucks,2015 Q3
Langhorne Boro Police Dept,1,1,1,100,Bucks,2015 Q3
Morrisville Boro Police Dept,70,67,0.9571428571428572,95.71428571428572,Bucks,2015 Q3
Northampton Township Police Dept,50,48,0.96,96,Bucks,2015 Q3
Pennridge Regional Police Dept,11,10,0.9090909090909091,90.9090909090909,Bucks,2015 Q3
Plumstead Township Police Dept,29,23,0.7931034482758621,79.3103448275862,Bucks,2015 Q3
Quakertown Boro Police Dept,70,64,0.9142857142857143,91.42857142857143,Bucks,2015 Q3
Solebury Township Police Dept,13,12,0.9230769230769231,92.3076923076923,Bucks,2015 Q3
Tinicum Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Bucks,2015 Q3
Upper Makefield Police Dept,8,7,0.875,87.5,Bucks,2015 Q3
Warrington Township Police Dept,76,72,0.9473684210526315,94.73684210526315,Bucks,2015 Q3
Bristol Boro Police Dept,20,16,0.8,80,Bucks,2015 Q3
Buckingham Township Police Dept,20,17,0.85,85,Bucks,2015 Q3
Bucks County Prison,18,18,1,100,Bucks,2015 Q3
"Bucks County, Rangers",7,5,0.7142857142857143,71.42857142857143,Bucks,2015 Q3
Central Bucks Regional Police,62,55,0.8870967741935484,88.70967741935483,Bucks,2015 Q3
Chalfont Boro Police Dept,6,3,0.5,50,Bucks,2015 Q3
Dublin Boro Police Dept,6,6,1,100,Bucks,2015 Q3
Hilltown Township Police Dept,71,63,0.8873239436619719,88.73239436619718,Bucks,2015 Q3
Langhorne Manor Police Dept,1,1,1,100,Bucks,2015 Q3
Lower Makefield Police Dept,55,51,0.9272727272727272,92.72727272727272,Bucks,2015 Q3
Middletown Township Police Dept,177,171,0.9661016949152542,96.61016949152543,Bucks,2015 Q3
Newtown Boro Police Dept,8,8,1,100,Bucks,2015 Q3
Penndel Boro Police Dept,17,15,0.8823529411764706,88.23529411764706,Bucks,2015 Q3
Perkasie Boro Police Dept,34,34,1,100,Bucks,2015 Q3
Richland Township Police Dept,46,44,0.9565217391304348,95.65217391304348,Bucks,2015 Q3
Telford Boro Police Dept,5,4,0.8,80,Bucks,2015 Q3
Upper Southampton Police Dept,46,46,1,100,Bucks,2015 Q3
Warminster Township Police Dept,63,61,0.9682539682539683,96.82539682539682,Bucks,2015 Q3
Bedminster Township Police Dept,22,18,0.8181818181818182,81.81818181818183,Bucks,2015 Q3
Bensalem Township Police Dept,522,484,0.9272030651340997,92.72030651340997,Bucks,2015 Q3
Falls Township Police Dept,172,148,0.8604651162790697,86.04651162790698,Bucks,2015 Q3
Lower Southampton Police Dept,72,67,0.9305555555555556,93.05555555555556,Bucks,2015 Q3
New Britain Township Police Dept,17,15,0.8823529411764706,88.23529411764706,Bucks,2015 Q3
New Hope Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Bucks,2015 Q3
Newtown Township Police Dept,34,32,0.9411764705882353,94.11764705882352,Bucks,2015 Q3
Springfield Township Police Dept,1,1,1,100,Bucks,2015 Q3
Tullytown Borough Police Dept,57,55,0.9649122807017544,96.49122807017544,Bucks,2015 Q3
Warwick Township Police Dept,22,20,0.9090909090909091,90.9090909090909,Bucks,2015 Q3
Yardley Boro Police Dept,14,13,0.9285714285714286,92.85714285714286,Bucks,2015 Q3
