Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams Township Police Dept,33,29,0.8787878787878788,87.87878787878788,Butler,2015 Q3
Buffalo Township Police Dept,13,9,0.6923076923076923,69.23076923076923,Butler,2015 Q3
Butler City Police Dept,175,144,0.8228571428571428,82.28571428571428,Butler,2015 Q3
Butler Community College PD,,,,,,
Butler County Sheriff,8,4,0.5,50,Butler,2015 Q3
"Butler County, Detectives",17,16,0.9411764705882353,94.11764705882352,Butler,2015 Q3
Butler Township Police Dept,133,124,0.9323308270676691,93.23308270676691,Butler,2015 Q3
Callery Boro Police Dept,,,,,,
Cranberry Township Police Dept,113,94,0.831858407079646,83.1858407079646,Butler,2015 Q3
Evans City Boro Police Dept,,,,,,
Evans City Seven Fields Reg PD,1,1,1,100,Butler,2015 Q3
Harrisville Boro Police Dept,,,,,,
Jackson Township Police Dept,13,12,0.9230769230769231,92.3076923076923,Butler,2015 Q3
Lancaster Township Police Dept,4,4,1,100,Butler,2015 Q3
Middlesex Township Police Dept,1,1,1,100,Butler,2015 Q3
Penn Township Police Dept,44,40,0.9090909090909091,90.9090909090909,Butler,2015 Q3
"Philadelphia, Housing Auth",10,10,1,100,Butler,2015 Q3
Saxonburg Boro Police Dept,1,1,1,100,Butler,2015 Q3
Slippery Rock Boro Police Dept,4,4,1,100,Butler,2015 Q3
"Slippery Rock, University PD",3,3,1,100,Butler,2015 Q3
Zelienople Police Dept,7,6,0.8571428571428571,85.71428571428571,Butler,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
