Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Butler,2015 Q4
Buffalo Township Police Dept,13,12,0.9230769230769231,92.3076923076923,Butler,2015 Q4
Butler City Police Dept,197,163,0.8274111675126904,82.74111675126903,Butler,2015 Q4
Butler County Sheriff,6,4,0.6666666666666666,66.66666666666666,Butler,2015 Q4
"Butler County, Detectives",29,23,0.7931034482758621,79.3103448275862,Butler,2015 Q4
Butler Township Police Dept,128,110,0.859375,85.9375,Butler,2015 Q4
Cranberry Township Police Dept,114,94,0.8245614035087719,82.45614035087719,Butler,2015 Q4
Evans City Seven Fields Reg PD,6,5,0.8333333333333334,83.33333333333334,Butler,2015 Q4
Jackson Township Police Dept,10,9,0.9,90,Butler,2015 Q4
Lancaster Township Police Dept,4,4,1,100,Butler,2015 Q4
Middlesex Township Police Dept,26,26,1,100,Butler,2015 Q4
Penn Township Police Dept,9,9,1,100,Butler,2015 Q4
Saxonburg Boro Police Dept,7,5,0.7142857142857143,71.42857142857143,Butler,2015 Q4
Slippery Rock Boro Police Dept,21,18,0.8571428571428571,85.71428571428571,Butler,2015 Q4
"Slippery Rock, University PD",6,5,0.8333333333333334,83.33333333333334,Butler,2015 Q4
Zelienople Police Dept,4,3,0.75,75,Butler,2015 Q4
