Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Adams Township Police Dept,5,5,1,100,Cambria,2015 Q2
Blacklick Township Police Dept,1,1,1,100,Cambria,2015 Q2
Cambria County DUI Task Force,2,2,1,100,Cambria,2015 Q2
Cambria County Sheriff,1,0,0,0,Cambria,2015 Q2
"Cambria County, Detectives",53,50,0.9433962264150944,94.33962264150944,Cambria,2015 Q2
Cambria Township Police Dept,59,49,0.8305084745762712,83.05084745762711,Cambria,2015 Q2
Carrolltown Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Cambria,2015 Q2
Conemaugh Township Police Dept,3,3,1,100,Cambria,2015 Q2
Cresson Boro Police Dept,22,21,0.9545454545454546,95.45454545454545,Cambria,2015 Q2
Cresson Township Police Dept,17,16,0.9411764705882353,94.11764705882352,Cambria,2015 Q2
Dale Boro Police Dept,9,7,0.7777777777777778,77.77777777777779,Cambria,2015 Q2
E Conemaugh Boro Police Dept,12,12,1,100,Cambria,2015 Q2
East Taylor Township Police Dept,5,4,0.8,80,Cambria,2015 Q2
Ebensburg Boro Police Dept,29,26,0.896551724137931,89.65517241379311,Cambria,2015 Q2
Ferndale Boro Police Dept,8,7,0.875,87.5,Cambria,2015 Q2
Gallitzin Boro Police Dept,8,8,1,100,Cambria,2015 Q2
Geistown Boro Police Dept,1,1,1,100,Cambria,2015 Q2
Hastings Boro Police Dept,5,4,0.8,80,Cambria,2015 Q2
Jackson Township Police Dept,14,12,0.8571428571428571,85.71428571428571,Cambria,2015 Q2
Johnstown Police Dept,233,206,0.8841201716738197,88.41201716738198,Cambria,2015 Q2
Nanty Glo Boro Police Dept,9,9,1,100,Cambria,2015 Q2
Northern Cambria Police Dept,30,29,0.9666666666666667,96.66666666666667,Cambria,2015 Q2
Patton Boro Police Dept,6,6,1,100,Cambria,2015 Q2
Portage Boro Police Dept,8,8,1,100,Cambria,2015 Q2
Richland Township Police Dept,81,73,0.9012345679012346,90.12345679012346,Cambria,2015 Q2
South Fork Boro Police Dept,1,1,1,100,Cambria,2015 Q2
Stonycreek Township Police Dept,10,8,0.8,80,Cambria,2015 Q2
Summerhill Township Police Dept,2,2,1,100,Cambria,2015 Q2
Univ Of Pittsburgh Police Dept,1,1,1,100,Cambria,2015 Q2
Upper Yoder Township Police Dept,5,4,0.8,80,Cambria,2015 Q2
West Hills Regional Police Dept,21,20,0.9523809523809523,95.23809523809523,Cambria,2015 Q2
Windber Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Cambria,2015 Q2
