Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Beaver Meadows Boro Police Dept,9,9,1,100,Carbon,2015 Q2
East Penn Township Police Dept,,,,,,
Franklin Township Police Dept,9,9,1,100,Carbon,2015 Q2
Jim Thorpe Police Dept,15,12,0.8,80,Carbon,2015 Q2
Kidder Township Police Dept,16,14,0.875,87.5,Carbon,2015 Q2
Lansford Boro Police Dept,54,46,0.8518518518518519,85.18518518518519,Carbon,2015 Q2
Lehighton Boro Police Dept,30,26,0.8666666666666667,86.66666666666667,Carbon,2015 Q2
Mahoning Township Police Dept,56,50,0.8928571428571429,89.28571428571429,Carbon,2015 Q2
Nesquehoning Boro Police Dept,40,36,0.9,90,Carbon,2015 Q2
Palmerton Boro Police Dept,30,27,0.9,90,Carbon,2015 Q2
Summit Hill Boro Police Dept,6,4,0.6666666666666666,66.66666666666666,Carbon,2015 Q2
Weatherly Boro Police Dept,12,10,0.8333333333333334,83.33333333333334,Carbon,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
