Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Beaver Meadows Boro Police Dept,8,6,0.75,75,Carbon,2015 Q3
East Penn Township Police Dept,2,2,1,100,Carbon,2015 Q3
Franklin Township Police Dept,18,17,0.9444444444444444,94.44444444444444,Carbon,2015 Q3
Jim Thorpe Police Dept,9,8,0.8888888888888888,88.88888888888889,Carbon,2015 Q3
Kidder Township Police Dept,13,12,0.9230769230769231,92.3076923076923,Carbon,2015 Q3
Lansford Boro Police Dept,65,58,0.8923076923076924,89.23076923076924,Carbon,2015 Q3
Lehighton Boro Police Dept,40,36,0.9,90,Carbon,2015 Q3
Mahoning Township Police Dept,74,68,0.918918918918919,91.8918918918919,Carbon,2015 Q3
Nesquehoning Boro Police Dept,25,20,0.8,80,Carbon,2015 Q3
Palmerton Boro Police Dept,29,25,0.8620689655172413,86.20689655172413,Carbon,2015 Q3
Summit Hill Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Carbon,2015 Q3
Weatherly Boro Police Dept,18,18,1,100,Carbon,2015 Q3
