Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Beaver Meadows Boro Police Dept,2,2,1,100,Carbon,2015 Q1
East Penn Township Police Dept,1,1,1,100,Carbon,2015 Q1
Franklin Township Police Dept,10,10,1,100,Carbon,2015 Q1
Jim Thorpe Police Dept,25,22,0.88,88,Carbon,2015 Q1
Kidder Township Police Dept,2,2,1,100,Carbon,2015 Q1
Lansford Boro Police Dept,45,38,0.8444444444444444,84.44444444444444,Carbon,2015 Q1
Lehighton Boro Police Dept,31,26,0.8387096774193549,83.87096774193549,Carbon,2015 Q1
Mahoning Township Police Dept,39,37,0.9487179487179487,94.87179487179486,Carbon,2015 Q1
Nesquehoning Boro Police Dept,43,37,0.8604651162790697,86.04651162790698,Carbon,2015 Q1
Palmerton Boro Police Dept,26,21,0.8076923076923077,80.76923076923077,Carbon,2015 Q1
Summit Hill Boro Police Dept,2,2,1,100,Carbon,2015 Q1
Weatherly Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Carbon,2015 Q1
