Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bellefonte Boro Police Dept,28,25,0.8928571428571429,89.28571428571429,Centre,2015 Q3
Centre County Sheriff,,,,,,
Ferguson Township Police Dept,37,36,0.972972972972973,97.2972972972973,Centre,2015 Q3
Patton Township Police Dept,50,46,0.92,92,Centre,2015 Q3
"Penn State, University PD",50,48,0.96,96,Centre,2015 Q3
Spring Township Police Dept,11,9,0.8181818181818182,81.81818181818183,Centre,2015 Q3
State College Police Department,106,96,0.9056603773584906,90.56603773584906,Centre,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
