Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bethel Park Police Dept,,,,,Chester,
Birmingham Township Police Dept,7,5,0.7142857142857143,71.42857142857143,Chester,2015 Q1
Caln Township Police Dept,34,27,0.7941176470588235,79.41176470588235,Chester,2015 Q1
"Chester County, Detectives",14,14,1,100,Chester,2015 Q1
Christiana Boro Police Dept,,,,,Chester,
Coatesville Area School District,1,0,0,0,Chester,2015 Q1
Coatesville City Police Dept,84,65,0.7738095238095238,77.38095238095238,Chester,2015 Q1
"Delaware County, Cid",1,1,1,100,Chester,2015 Q1
Downingtown Boro Police Dept,33,27,0.8181818181818182,81.81818181818183,Chester,2015 Q1
E Coventry Township Police Dept,2,2,1,100,Chester,2015 Q1
E Fallowfield Township Police Dept,4,2,0.5,50,Chester,2015 Q1
E Vincent Township Police Dept,5,4,0.8,80,Chester,2015 Q1
E Whiteland Township Police Dept,31,26,0.8387096774193549,83.87096774193549,Chester,2015 Q1
East Brandywine Township Police Dept,5,4,0.8,80,Chester,2015 Q1
East Marlborough Township Police Dept,,,,,Chester,
East Pikeland Township Pd Police Dept,22,20,0.9090909090909091,90.9090909090909,Chester,2015 Q1
Easttown Township Police Dept,16,16,1,100,Chester,2015 Q1
Honeybrook Boro Police Dept,2,1,0.5,50,Chester,2015 Q1
Kennett Square Police Dept,32,25,0.78125,78.125,Chester,2015 Q1
Kennett Township Police Dept,2,1,0.5,50,Chester,2015 Q1
"Lincoln, University PD",9,7,0.7777777777777778,77.77777777777779,Chester,2015 Q1
Malvern Boro Police Dept,2,1,0.5,50,Chester,2015 Q1
N Coventry Township Police Dept,37,36,0.972972972972973,97.2972972972973,Chester,2015 Q1
New Garden Township Police Dept,31,26,0.8387096774193549,83.87096774193549,Chester,2015 Q1
Oxford Boro Police Dept,21,14,0.6666666666666666,66.66666666666666,Chester,2015 Q1
Parkesburg Boro Police Dept,24,17,0.7083333333333334,70.83333333333334,Chester,2015 Q1
Phoenixville Boro Police Dept,41,37,0.9024390243902439,90.2439024390244,Chester,2015 Q1
S Coatesville Boro Police Dept,1,0,0,0,Chester,2015 Q1
Sadsbury Township Police Dept,6,0,0,0,Chester,2015 Q1
Schuylkill Township Police Dept,20,20,1,100,Chester,2015 Q1
Spring City Boro Police Dept,15,12,0.8,80,Chester,2015 Q1
Tredyffrin Township Police Dept,58,51,0.8793103448275862,87.93103448275862,Chester,2015 Q1
Upper Uwchlan Township Police Dept,6,4,0.6666666666666666,66.66666666666666,Chester,2015 Q1
Uwchlan Township Police Dept,19,17,0.8947368421052632,89.47368421052632,Chester,2015 Q1
Valley Township Police Dept,13,9,0.6923076923076923,69.23076923076923,Chester,2015 Q1
W Caln Township Police Dept,14,7,0.5,50,Chester,2015 Q1
West Brandywine Township Police Dept,30,23,0.7666666666666667,76.66666666666667,Chester,2015 Q1
West Chester Boro Police Dept,54,49,0.9074074074074074,90.74074074074075,Chester,2015 Q1
"West Chester, University PD",13,10,0.7692307692307693,76.92307692307693,Chester,2015 Q1
West Fallowfield Township Police Dept,1,1,1,100,Chester,2015 Q1
West Goshen Township Police Dept,40,37,0.925,92.5,Chester,2015 Q1
West Grove Boro Police Dept,2,0,0,0,Chester,2015 Q1
West Nottingham Township Police Dept,,,,,Chester,
West Pikeland Township Police Dept,6,6,1,100,Chester,2015 Q1
West Sadsbury Police Dept,19,14,0.7368421052631579,73.68421052631578,Chester,2015 Q1
West Vincent Township Police Dept,5,4,0.8,80,Chester,2015 Q1
West Whiteland Township Police Dept,95,87,0.9157894736842105,91.57894736842105,Chester,2015 Q1
Westtown/East Goshen Police Dept,51,43,0.8431372549019608,84.31372549019608,Chester,2015 Q1
Willistown Township Police Dept,9,9,1,100,Chester,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
