Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Benton Police Dept,3,3,1,100,Columbia,2015 Q1
Berwick Boro Police Dept,37,29,0.7837837837837838,78.37837837837837,Columbia,2015 Q1
Bloomsburg Police Dept,62,56,0.9032258064516129,90.32258064516128,Columbia,2015 Q1
"Bloomsburg, University PD",13,13,1,100,Columbia,2015 Q1
Briarcreek Township Police Dept,7,5,0.7142857142857143,71.42857142857143,Columbia,2015 Q1
Catawissa Police Dept,6,4,0.6666666666666666,66.66666666666666,Columbia,2015 Q1
Columbia County Sheriff,1,1,1,100,Columbia,2015 Q1
"Columbia County, Detectives",,,,,Columbia,
Greenwood Township Police Dept,1,1,1,100,Columbia,2015 Q1
Hemlock Township Police Dept,35,34,0.9714285714285714,97.14285714285714,Columbia,2015 Q1
Locust Township PD,7,7,1,100,Columbia,2015 Q1
Madison Township Police Dept,,,,,Columbia,
Millville Boro Police Dept,5,2,0.4,40,Columbia,2015 Q1
Montour Township Police Dept,11,7,0.6363636363636364,63.63636363636363,Columbia,2015 Q1
Orangeville Area Police Dept,1,1,1,100,Columbia,2015 Q1
Scott Township Police Dept,21,15,0.7142857142857143,71.42857142857143,Columbia,2015 Q1
South Centre Township Police Dept,21,15,0.7142857142857143,71.42857142857143,Columbia,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
