Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Benton Police Dept,1,0,0,0,Columbia,2015 Q2
Berwick Boro Police Dept,51,34,0.6666666666666666,66.66666666666666,Columbia,2015 Q2
Bloomsburg Police Dept,69,65,0.9420289855072463,94.20289855072464,Columbia,2015 Q2
"Bloomsburg, University PD",11,8,0.7272727272727273,72.72727272727273,Columbia,2015 Q2
Briarcreek Township Police Dept,13,11,0.8461538461538461,84.61538461538461,Columbia,2015 Q2
Catawissa Police Dept,12,10,0.8333333333333334,83.33333333333334,Columbia,2015 Q2
Greenwood Township Police Dept,1,0,0,0,Columbia,2015 Q2
Hemlock Township Police Dept,35,32,0.9142857142857143,91.42857142857143,Columbia,2015 Q2
Locust Township PD,12,9,0.75,75,Columbia,2015 Q2
Millville Boro Police Dept,2,2,1,100,Columbia,2015 Q2
Montour Township Police Dept,6,6,1,100,Columbia,2015 Q2
Orangeville Area Police Dept,1,1,1,100,Columbia,2015 Q2
Scott Township Police Dept,33,31,0.9393939393939394,93.93939393939394,Columbia,2015 Q2
South Centre Township Police Dept,17,12,0.7058823529411765,70.58823529411765,Columbia,2015 Q2
