Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Camp Hill Police Dept,35,35,1,100,Cumberland,2015 Q3
Carlisle Boro Police Dept,185,167,0.9027027027027027,90.27027027027027,Cumberland,2015 Q3
Cumberland County District Attorney,17,13,0.7647058823529411,76.47058823529412,Cumberland,2015 Q3
Cumberland County Sheriff,6,6,1,100,Cumberland,2015 Q3
"Dickinson, College PD",,,,,,
E Pennsboro Township Police Dept,69,62,0.8985507246376812,89.85507246376811,Cumberland,2015 Q3
Hampden Township Police Dept,77,72,0.935064935064935,93.5064935064935,Cumberland,2015 Q3
Lower Allen Township Police Dept,92,85,0.9239130434782609,92.3913043478261,Cumberland,2015 Q3
Mechanicsburg Police Dept,24,23,0.9583333333333334,95.83333333333334,Cumberland,2015 Q3
Middlesex Township Police Dept,53,50,0.9433962264150944,94.33962264150944,Cumberland,2015 Q3
Mt Holly Sprngs Police Dept,11,11,1,100,Cumberland,2015 Q3
New Cumberland Police Dept,23,21,0.9130434782608695,91.30434782608695,Cumberland,2015 Q3
Newville Borough Police Dept,4,3,0.75,75,Cumberland,2015 Q3
North Middleton Police Dept,44,38,0.8636363636363636,86.36363636363636,Cumberland,2015 Q3
Shippensburg Police Dept,24,21,0.875,87.5,Cumberland,2015 Q3
"Shippensburg, University PD",2,2,1,100,Cumberland,2015 Q3
Shiremanstown Police Dept,4,4,1,100,Cumberland,2015 Q3
Silver Spring Police Dept,67,60,0.8955223880597015,89.55223880597015,Cumberland,2015 Q3
Upper Allen Township Police Dept,41,36,0.8780487804878049,87.8048780487805,Cumberland,2015 Q3
West Shore Regional Police Dept,60,59,0.9833333333333333,98.33333333333333,Cumberland,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
