Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Central Dauphin Area School District Police Department,1,1,1,100,Dauphin,2015 Q2
Dauphin County District Attorney,39,37,0.9487179487179487,94.87179487179486,Dauphin,2015 Q2
Dauphin County Sheriff,4,3,0.75,75,Dauphin,2015 Q2
Derry Township Police Dept,112,98,0.875,87.5,Dauphin,2015 Q2
Halifax Regional Police Dept,1,0,0,0,Dauphin,2015 Q2
Harrisburg Police Dept,618,550,0.889967637540453,88.9967637540453,Dauphin,2015 Q2
Highspire Boro Police Dept,24,20,0.8333333333333334,83.33333333333334,Dauphin,2015 Q2
Hummelstown Police Dept,21,19,0.9047619047619048,90.47619047619048,Dauphin,2015 Q2
Lower Paxton Township Police Dept,170,156,0.9176470588235294,91.76470588235294,Dauphin,2015 Q2
Lower Swatara Township Police Dept,35,33,0.9428571428571428,94.28571428571428,Dauphin,2015 Q2
Lykens Boro P D Police Dept,4,1,0.25,25,Dauphin,2015 Q2
Middletown Police Dept,45,38,0.8444444444444444,84.44444444444444,Dauphin,2015 Q2
Millersburg Boro Police Dept,5,3,0.6,60,Dauphin,2015 Q2
Norfolk Southern Police Dept,1,1,1,100,Dauphin,2015 Q2
Paxtang Boro Police Dept,5,3,0.6,60,Dauphin,2015 Q2
Penbrook Police Dept,47,39,0.8297872340425532,82.97872340425532,Dauphin,2015 Q2
"Penn State, University PD",5,5,1,100,Dauphin,2015 Q2
Royalton Boro Police Dept,6,2,0.3333333333333333,33.33333333333333,Dauphin,2015 Q2
State Capitol Police Dept,45,27,0.6,60,Dauphin,2015 Q2
Steelton Police Dept,44,39,0.8863636363636364,88.63636363636364,Dauphin,2015 Q2
Susquehanna Township Police Dept,169,159,0.9408284023668639,94.0828402366864,Dauphin,2015 Q2
Swatara Township Police Dept,294,265,0.9013605442176871,90.1360544217687,Dauphin,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
