Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Halifax Regional Police Dept,4,4,1,100,Dauphin,2015 Q3
Higher Education,1,1,1,100,Dauphin,2015 Q3
Lower Swatara Township Police Dept,42,30,0.7142857142857143,71.42857142857143,Dauphin,2015 Q3
Millersburg Boro Police Dept,9,5,0.5555555555555556,55.55555555555556,Dauphin,2015 Q3
Paxtang Boro Police Dept,1,1,1,100,Dauphin,2015 Q3
Royalton Boro Police Dept,8,5,0.625,62.5,Dauphin,2015 Q3
Derry Township Police Dept,98,90,0.9183673469387755,91.83673469387756,Dauphin,2015 Q3
Lower Paxton Township Police Dept,178,167,0.9382022471910112,93.82022471910112,Dauphin,2015 Q3
"Penn State, University PD",2,2,1,100,Dauphin,2015 Q3
State Capitol Police Dept,45,29,0.6444444444444445,64.44444444444444,Dauphin,2015 Q3
Susquehanna Township Police Dept,161,150,0.9316770186335404,93.16770186335404,Dauphin,2015 Q3
Dauphin County District Attorney,43,32,0.7441860465116279,74.4186046511628,Dauphin,2015 Q3
Dauphin County Sheriff,2,0,0,0,Dauphin,2015 Q3
Harrisburg Police Dept,753,653,0.8671978751660027,86.71978751660026,Dauphin,2015 Q3
Highspire Boro Police Dept,29,29,1,100,Dauphin,2015 Q3
Hummelstown Police Dept,9,7,0.7777777777777778,77.77777777777779,Dauphin,2015 Q3
Lykens Boro P D Police Dept,2,1,0.5,50,Dauphin,2015 Q3
Middletown Police Dept,73,53,0.726027397260274,72.6027397260274,Dauphin,2015 Q3
Penbrook Police Dept,42,37,0.8809523809523809,88.09523809523809,Dauphin,2015 Q3
Steelton Police Dept,48,46,0.9583333333333334,95.83333333333334,Dauphin,2015 Q3
Swatara Township Police Dept,360,322,0.8944444444444445,89.44444444444444,Dauphin,2015 Q3
