Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Dauphin County District Attorney,34,29,0.8529411764705882,85.29411764705883,Dauphin,2015 Q4
Dauphin County Sheriff,4,2,0.5,50,Dauphin,2015 Q4
Derry Township Police Dept,115,104,0.9043478260869565,90.43478260869566,Dauphin,2015 Q4
Halifax Regional Police Dept,1,0,0,0,Dauphin,2015 Q4
Harrisburg Police Dept,698,585,0.83810888252149,83.810888252149,Dauphin,2015 Q4
Highspire Boro Police Dept,29,27,0.9310344827586207,93.10344827586206,Dauphin,2015 Q4
Hummelstown Police Dept,16,15,0.9375,93.75,Dauphin,2015 Q4
Lower Paxton Township Police Dept,191,177,0.9267015706806283,92.67015706806284,Dauphin,2015 Q4
Lower Swatara Township Police Dept,24,24,1,100,Dauphin,2015 Q4
Lykens Boro P D Police Dept,2,2,1,100,Dauphin,2015 Q4
Middletown Police Dept,49,37,0.7551020408163265,75.51020408163265,Dauphin,2015 Q4
Millersburg Boro Police Dept,6,3,0.5,50,Dauphin,2015 Q4
Norfolk Southern Police Dept,2,2,1,100,Dauphin,2015 Q4
Penbrook Police Dept,36,30,0.8333333333333334,83.33333333333334,Dauphin,2015 Q4
"Penn State, University PD",5,2,0.4,40,Dauphin,2015 Q4
State Capitol Police Dept,48,32,0.6666666666666666,66.66666666666666,Dauphin,2015 Q4
Steelton Police Dept,44,39,0.8863636363636364,88.63636363636364,Dauphin,2015 Q4
Susquehanna Township Police Dept,144,136,0.9444444444444444,94.44444444444444,Dauphin,2015 Q4
Swatara Township Police Dept,334,303,0.907185628742515,90.71856287425149,Dauphin,2015 Q4
