Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Aldan Boro Police Dept,16,13,0.8125,81.25,Delaware,2015 Q2
Aston Township Police Dept,32,30,0.9375,93.75,Delaware,2015 Q2
Bethel Township Police Dept,7,4,0.5714285714285714,57.14285714285714,Delaware,2015 Q2
Brookhaven Boro Police Dept,18,15,0.8333333333333334,83.33333333333334,Delaware,2015 Q2
Chester City Police Dept,245,208,0.8489795918367347,84.89795918367346,Delaware,2015 Q2
Chester Housing Dept Police Dept,,,,,,
Chester Township Police Dept,30,15,0.5,50,Delaware,2015 Q2
"Cheyney, University PD",10,5,0.5,50,Delaware,2015 Q2
Clifton Hgts Police Dept,26,24,0.9230769230769231,92.3076923076923,Delaware,2015 Q2
Collingdale Police Dept,38,24,0.631578947368421,63.1578947368421,Delaware,2015 Q2
Colwyn Boro Police Dept,,,,,,
Darby Boro Police Dept,120,114,0.95,95,Delaware,2015 Q2
Darby Township Police Dept,42,30,0.7142857142857143,71.42857142857143,Delaware,2015 Q2
Delaware County Park Police Dept,7,3,0.42857142857142855,42.857142857142854,Delaware,2015 Q2
"Delaware County, Cid",51,39,0.7647058823529411,76.47058823529412,Delaware,2015 Q2
"Dept Corrections, Central",,,,,,
East Lansdowne Boro Police Dept,9,6,0.6666666666666666,66.66666666666666,Delaware,2015 Q2
Eddystone Police Dept,54,50,0.9259259259259259,92.5925925925926,Delaware,2015 Q2
Folcroft Boro Police Dept,33,26,0.7878787878787878,78.78787878787878,Delaware,2015 Q2
Glenolden Boro Police Dept,22,19,0.8636363636363636,86.36363636363636,Delaware,2015 Q2
Greencastle Police Dept,,,,,,
Haverford Township Police Dept,88,81,0.9204545454545454,92.04545454545455,Delaware,2015 Q2
Lansdowne Boro Police Dept,22,17,0.7727272727272727,77.27272727272727,Delaware,2015 Q2
Lower Chichester Township Police Dept,23,17,0.7391304347826086,73.91304347826086,Delaware,2015 Q2
Marcus Hook Boro Police Dept,30,28,0.9333333333333333,93.33333333333333,Delaware,2015 Q2
Marple Township Police Dept,52,43,0.8269230769230769,82.6923076923077,Delaware,2015 Q2
Media Boro Police Dept,21,17,0.8095238095238095,80.95238095238095,Delaware,2015 Q2
Millbourne Boro Police Dept,2,2,1,100,Delaware,2015 Q2
Morton Police Dept,31,29,0.9354838709677419,93.54838709677419,Delaware,2015 Q2
Nether Providence Police Dept,19,15,0.7894736842105263,78.94736842105263,Delaware,2015 Q2
Newtown Township Police Dept,30,25,0.8333333333333334,83.33333333333334,Delaware,2015 Q2
Norwood Boro Police Dept,10,6,0.6,60,Delaware,2015 Q2
Parkside Boro Police Dept,4,3,0.75,75,Delaware,2015 Q2
Prospect Park Police Dept,15,8,0.5333333333333333,53.333333333333336,Delaware,2015 Q2
Radnor Township Police Dept,66,51,0.7727272727272727,77.27272727272727,Delaware,2015 Q2
Ridley Park Police Dept,12,10,0.8333333333333334,83.33333333333334,Delaware,2015 Q2
Ridley Township Police Dept,98,91,0.9285714285714286,92.85714285714286,Delaware,2015 Q2
Sharon Hill Boro Police Dept,21,18,0.8571428571428571,85.71428571428571,Delaware,2015 Q2
Springfield Police Dept,87,75,0.8620689655172413,86.20689655172413,Delaware,2015 Q2
Swarthmore Police Dept,7,6,0.8571428571428571,85.71428571428571,Delaware,2015 Q2
Tinicum Township Police Dept,72,61,0.8472222222222222,84.72222222222221,Delaware,2015 Q2
Trainer Boro Police Dept,15,8,0.5333333333333333,53.333333333333336,Delaware,2015 Q2
Upland Police Dept,15,9,0.6,60,Delaware,2015 Q2
Upper Chichester Township Police Dept,82,69,0.8414634146341463,84.14634146341463,Delaware,2015 Q2
Upper Darby Twn Police Dept,315,279,0.8857142857142857,88.57142857142857,Delaware,2015 Q2
Upper Providence Township Police Dept,38,33,0.868421052631579,86.8421052631579,Delaware,2015 Q2
West Chester Boro Police Dept,,,,,,
Yeadon Boro Police Dept,36,25,0.6944444444444444,69.44444444444444,Delaware,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
