Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Albion Boro Police Dept,5,2,0.4,40,Erie,2015 Q3
Corry City Police Dept,29,25,0.8620689655172413,86.20689655172413,Erie,2015 Q3
Edinboro Police Dept,14,6,0.42857142857142855,42.857142857142854,Erie,2015 Q3
"Edinboro, University PD",5,1,0.2,20,Erie,2015 Q3
Erie City Police Dept,461,295,0.6399132321041214,63.99132321041214,Erie,2015 Q3
Erie County Sheriff,12,1,0.08333333333333333,8.333333333333332,Erie,2015 Q3
"Erie County, Detectives",3,1,0.3333333333333333,33.33333333333333,Erie,2015 Q3
"Erie County, Prison",,,,,,
Erie SD Police Dept,2,1,0.5,50,Erie,2015 Q3
"Gannon, University PD",1,0,0,0,Erie,2015 Q3
Girard Boro Police Dept,8,4,0.5,50,Erie,2015 Q3
Lake City Boro Police Dept,9,8,0.8888888888888888,88.88888888888889,Erie,2015 Q3
Lawrence Park Township Police Dept,18,16,0.8888888888888888,88.88888888888889,Erie,2015 Q3
"Mercyhurst, University PD",1,1,1,100,Erie,2015 Q3
Millcreek Police Dept,191,163,0.8534031413612565,85.34031413612566,Erie,2015 Q3
North East Boro Police Dept,22,14,0.6363636363636364,63.63636363636363,Erie,2015 Q3
"Penn State Behrend, University PD",1,1,1,100,Erie,2015 Q3
Union City Boro Police Dept,5,5,1,100,Erie,2015 Q3
Wesleyville Boro Police Dept,26,21,0.8076923076923077,80.76923076923077,Erie,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
