Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Albion Boro Police Dept,10,9,0.9,90,Erie,2015 Q2
Corry City Police Dept,31,27,0.8709677419354839,87.09677419354838,Erie,2015 Q2
Edinboro Police Dept,12,9,0.75,75,Erie,2015 Q2
"Edinboro, University PD",8,6,0.75,75,Erie,2015 Q2
Erie City Police Dept,381,226,0.5931758530183727,59.31758530183727,Erie,2015 Q2
Erie County Sheriff,8,6,0.75,75,Erie,2015 Q2
"Erie County, Detectives",3,2,0.6666666666666666,66.66666666666666,Erie,2015 Q2
"Erie County, Prison",3,0,0,0,Erie,2015 Q2
"Gannon, University PD",2,1,0.5,50,Erie,2015 Q2
Girard Boro Police Dept,8,6,0.75,75,Erie,2015 Q2
Lake City Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Erie,2015 Q2
Lawrence Park Township Police Dept,17,15,0.8823529411764706,88.23529411764706,Erie,2015 Q2
Millcreek Police Dept,161,131,0.8136645962732919,81.36645962732919,Erie,2015 Q2
North East Boro Police Dept,17,10,0.5882352941176471,58.82352941176471,Erie,2015 Q2
"Penn State Behrend, University PD",2,2,1,100,Erie,2015 Q2
Union City Boro Police Dept,8,7,0.875,87.5,Erie,2015 Q2
Wesleyville Boro Police Dept,7,7,1,100,Erie,2015 Q2
