Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Brownsville Police Dept,7,6,0.8571428571428571,85.71428571428571,Fayette,2015 Q2
Connellsville Police Dept,33,28,0.8484848484848485,84.84848484848484,Fayette,2015 Q2
"Dept Corrections, Central",1,1,1,100,Fayette,2015 Q2
Dunbar Boro Police Dept,,,,,,
Fairchance Boro Police Dept,,,,,,
Fayette City Boro Police Dept,2,1,0.5,50,Fayette,2015 Q2
Fayette County District Attorney,8,8,1,100,Fayette,2015 Q2
Luzerne Township Police Dept,,,,,,
Masontown Police Dept,13,11,0.8461538461538461,84.61538461538461,Fayette,2015 Q2
Perryopolis Police Dept,,,,,,
Point Marion Boro Police Dept,,,,,,
Redstone Township Police Dept,14,10,0.7142857142857143,71.42857142857143,Fayette,2015 Q2
S Connellsville Boro Police Dept,,,,,,
Southwest Regl Police Dept,10,8,0.8,80,Fayette,2015 Q2
Uniontown City Police Dept,79,64,0.810126582278481,81.0126582278481,Fayette,2015 Q2
Washington Township Police Dept,5,5,1,100,Fayette,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
