Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Chambersburg Area School Dist Security Force,5,5,1,100,Franklin,2015 Q3
Chambersburg Police Dept,183,165,0.9016393442622951,90.1639344262295,Franklin,2015 Q3
Franklin County Drug Task Force,22,21,0.9545454545454546,95.45454545454545,Franklin,2015 Q3
Franklin County Sheriff,7,7,1,100,Franklin,2015 Q3
Greencastle Police Dept,14,12,0.8571428571428571,85.71428571428571,Franklin,2015 Q3
Mercersburg Police Dept,6,6,1,100,Franklin,2015 Q3
Shippensburg Police Dept,4,4,1,100,Franklin,2015 Q3
Washington Township Police Dept,110,105,0.9545454545454546,95.45454545454545,Franklin,2015 Q3
Waynesboro Area School District Police,3,3,1,100,Franklin,2015 Q3
Waynesboro Police Dept,61,59,0.9672131147540983,96.72131147540983,Franklin,2015 Q3
