Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Chambersburg Area School Dist Security Force,1,0,0,0,Franklin,2015 Q4
Chambersburg Police Dept,158,146,0.9240506329113924,92.40506329113924,Franklin,2015 Q4
Franklin County District Attorney,1,1,1,100,Franklin,2015 Q4
Franklin County Drug Task Force,11,11,1,100,Franklin,2015 Q4
Franklin County Sheriff,4,4,1,100,Franklin,2015 Q4
Greencastle Police Dept,15,14,0.9333333333333333,93.33333333333333,Franklin,2015 Q4
Mercersburg Police Dept,1,1,1,100,Franklin,2015 Q4
Shippensburg Police Dept,4,3,0.75,75,Franklin,2015 Q4
Washington Township Police Dept,82,80,0.975609756097561,97.5609756097561,Franklin,2015 Q4
Waynesboro Area School District Police,1,1,1,100,Franklin,2015 Q4
Waynesboro Police Dept,46,45,0.9782608695652174,97.82608695652173,Franklin,2015 Q4
