Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Huntingdon Boro Police Dept,24,19,0.7916666666666666,79.16666666666666,Huntingdon,2015 Q4
Huntingdon County District Attorney,6,3,0.5,50,Huntingdon,2015 Q4
Huntingdon County Sheriff,1,1,1,100,Huntingdon,2015 Q4
Mount Union Boro Police Dept,12,11,0.9166666666666666,91.66666666666666,Huntingdon,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
