Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Archbald Boro Police Dept,18,16,0.8888888888888888,88.88888888888889,Lackawanna,2015 Q1
Blakely Boro Police Dept,29,26,0.896551724137931,89.65517241379311,Lackawanna,2015 Q1
Carbondale City Police Dept,39,34,0.8717948717948718,87.17948717948718,Lackawanna,2015 Q1
Carbondale Township Police Dept,1,1,1,100,Lackawanna,2015 Q1
Clarks Summit Boro Police Dept,8,7,0.875,87.5,Lackawanna,2015 Q1
Covington Township Police Dept,9,3,0.3333333333333333,33.33333333333333,Lackawanna,2015 Q1
Dalton Boro Police Dept,1,1,1,100,Lackawanna,2015 Q1
Dickson City Police Dept,57,51,0.8947368421052632,89.47368421052632,Lackawanna,2015 Q1
Dunmore Boro Police Dept,31,21,0.6774193548387096,67.74193548387096,Lackawanna,2015 Q1
Duryea Boro Police Dept,1,1,1,100,Lackawanna,2015 Q1
Forest City Boro Police Dept,,,,,Lackawanna,
Greenfield Township Police Dept,,,,,Lackawanna,
Jefferson Township Police Dept,2,2,1,100,Lackawanna,2015 Q1
Jermyn Boro Police Dept,3,3,1,100,Lackawanna,2015 Q1
Jessup Boro Police Dept,12,10,0.8333333333333334,83.33333333333334,Lackawanna,2015 Q1
Lackawanna County District Attorney,10,9,0.9,90,Lackawanna,2015 Q1
Lackawanna County Sheriff,1,1,1,100,Lackawanna,2015 Q1
"Lackawanna County, Detectives",81,75,0.9259259259259259,92.5925925925926,Lackawanna,2015 Q1
Mayfield Boro Police Dept,3,3,1,100,Lackawanna,2015 Q1
Moosic Police Dept,14,10,0.7142857142857143,71.42857142857143,Lackawanna,2015 Q1
Moscow Boro Police Dept,5,4,0.8,80,Lackawanna,2015 Q1
Old Forge Police Dept,16,14,0.875,87.5,Lackawanna,2015 Q1
Olyphant Boro Police Dept,15,14,0.9333333333333333,93.33333333333333,Lackawanna,2015 Q1
Roaringbrook Township Police Dept,4,4,1,100,Lackawanna,2015 Q1
Scott Township Police Dept,4,4,1,100,Lackawanna,2015 Q1
Scranton City Police Dept,354,314,0.8870056497175142,88.70056497175142,Lackawanna,2015 Q1
South Abington Township Police Dept,14,13,0.9285714285714286,92.85714285714286,Lackawanna,2015 Q1
Taylor Boro Police Dept,73,69,0.9452054794520548,94.52054794520548,Lackawanna,2015 Q1
Throop Boro Police Dept,8,7,0.875,87.5,Lackawanna,2015 Q1
Univ Of Scranton Police Dept,,,,,Lackawanna,
Waverly Township Police Dept,3,3,1,100,Lackawanna,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
