Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Archbald Boro Police Dept,26,22,0.8461538461538461,84.61538461538461,Lackawanna,2015 Q4
Blakely Boro Police Dept,27,23,0.8518518518518519,85.18518518518519,Lackawanna,2015 Q4
Carbondale City Police Dept,49,35,0.7142857142857143,71.42857142857143,Lackawanna,2015 Q4
Clarks Summit Boro Police Dept,5,5,1,100,Lackawanna,2015 Q4
Covington Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Lackawanna,2015 Q4
Dalton Boro Police Dept,5,4,0.8,80,Lackawanna,2015 Q4
Dickson City Police Dept,47,36,0.7659574468085106,76.59574468085107,Lackawanna,2015 Q4
Dunmore Boro Police Dept,59,40,0.6779661016949152,67.79661016949152,Lackawanna,2015 Q4
Forest City Boro Police Dept,1,1,1,100,Lackawanna,2015 Q4
Jefferson Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Lackawanna,2015 Q4
Jermyn Boro Police Dept,2,1,0.5,50,Lackawanna,2015 Q4
Jessup Boro Police Dept,7,6,0.8571428571428571,85.71428571428571,Lackawanna,2015 Q4
Lackawanna County District Attorney,12,9,0.75,75,Lackawanna,2015 Q4
Lackawanna County Sheriff,6,3,0.5,50,Lackawanna,2015 Q4
"Lackawanna County, Detectives",51,48,0.9411764705882353,94.11764705882352,Lackawanna,2015 Q4
Mayfield Boro Police Dept,4,4,1,100,Lackawanna,2015 Q4
Moosic Police Dept,12,9,0.75,75,Lackawanna,2015 Q4
Moscow Boro Police Dept,2,2,1,100,Lackawanna,2015 Q4
Old Forge Police Dept,22,15,0.6818181818181818,68.18181818181817,Lackawanna,2015 Q4
Olyphant Boro Police Dept,11,10,0.9090909090909091,90.9090909090909,Lackawanna,2015 Q4
Roaringbrook Township Police Dept,1,1,1,100,Lackawanna,2015 Q4
Scott Township Police Dept,5,4,0.8,80,Lackawanna,2015 Q4
Scranton City Police Dept,385,327,0.8493506493506493,84.93506493506493,Lackawanna,2015 Q4
South Abington Township Police Dept,25,22,0.88,88,Lackawanna,2015 Q4
Taylor Boro Police Dept,72,63,0.875,87.5,Lackawanna,2015 Q4
Throop Boro Police Dept,15,10,0.6666666666666666,66.66666666666666,Lackawanna,2015 Q4
