Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Akron Boro Police Dept,5,5,1,100,Lancaster,2015 Q2
Columbia Boro Police Dept,65,29,0.4461538461538462,44.61538461538462,Lancaster,2015 Q2
East Cocalico Township Police Dept,35,33,0.9428571428571428,94.28571428571428,Lancaster,2015 Q2
East Earl Township Police Dept,14,13,0.9285714285714286,92.85714285714286,Lancaster,2015 Q2
East Hempfield Township Police Dept,53,45,0.8490566037735849,84.90566037735849,Lancaster,2015 Q2
East Lampeter Township Police Dept,154,131,0.8506493506493507,85.06493506493507,Lancaster,2015 Q2
Elizabethtown Boro Police Dept,62,52,0.8387096774193549,83.87096774193549,Lancaster,2015 Q2
Ephrata Police Dept,67,52,0.7761194029850746,77.61194029850746,Lancaster,2015 Q2
Lancaster County Sheriff,2,0,0,0,Lancaster,2015 Q2
"Lancaster County, Detectives",27,6,0.2222222222222222,22.22222222222222,Lancaster,2015 Q2
"Lancaster County, District Attorney",13,9,0.6923076923076923,69.23076923076923,Lancaster,2015 Q2
Lancaster Police Dept,501,428,0.8542914171656687,85.42914171656687,Lancaster,2015 Q2
Lititz Boro Police Dept,29,22,0.7586206896551724,75.86206896551724,Lancaster,2015 Q2
Manheim Boro Police Dept,60,34,0.5666666666666667,56.666666666666664,Lancaster,2015 Q2
Manheim Township Police Dept,254,234,0.9212598425196851,92.1259842519685,Lancaster,2015 Q2
Manor Township Police Dept,33,24,0.7272727272727273,72.72727272727273,Lancaster,2015 Q2
Millersville Boro Police Dept,26,15,0.5769230769230769,57.692307692307686,Lancaster,2015 Q2
Millersville Unv Police Dept,10,3,0.3,30,Lancaster,2015 Q2
Mount Joy Boro Police Dept,29,18,0.6206896551724138,62.06896551724138,Lancaster,2015 Q2
New Holland Police Dept,27,27,1,100,Lancaster,2015 Q2
Northern Lancaster County Regional Police Department,68,49,0.7205882352941176,72.05882352941177,Lancaster,2015 Q2
Northwest Regl Police Dept,57,43,0.7543859649122807,75.43859649122807,Lancaster,2015 Q2
Penn Township Police Dept,1,0,0,0,Lancaster,2015 Q2
Quarryville Boro Police Dept,10,9,0.9,90,Lancaster,2015 Q2
Southern Regional Police Dept,29,25,0.8620689655172413,86.20689655172413,Lancaster,2015 Q2
Strasburg Boro Police Dept,4,4,1,100,Lancaster,2015 Q2
Susquehanna Regional Police Dept,32,20,0.625,62.5,Lancaster,2015 Q2
Warwick Township Police Dept,1,0,0,0,Lancaster,2015 Q2
West Earl Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Lancaster,2015 Q2
West Hempfield Township Police Dept,36,28,0.7777777777777778,77.77777777777779,Lancaster,2015 Q2
West Lampeter Township Police Dept,34,23,0.6764705882352942,67.64705882352942,Lancaster,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
