,,,,,,
Bessemer Boro Police Dept,1,1,1,100,Lawrence,2015 Q1
Ellwood City Boro Police Dept,30,28,0.9333333333333333,93.33333333333333,Lawrence,2015 Q1
Hickory Township Police Dept,7,5,0.7142857142857143,71.42857142857143,Lawrence,2015 Q1
Lawrence County District Attorney,17,7,0.4117647058823529,41.17647058823529,Lawrence,2015 Q1
Lawrence County Sheriff,2,2,1,100,Lawrence,2015 Q1
Mahoning Township Police Dept,10,7,0.7,70,Lawrence,2015 Q1
Neshannock Township Police Dept,28,23,0.8214285714285714,82.14285714285714,Lawrence,2015 Q1
New Beaver Boro Police Dept,,,,,Lawrence,
New Castle City Police Dept,212,138,0.6509433962264151,65.09433962264151,Lawrence,2015 Q1
New Wilmington Boro Police Dept,2,2,1,100,Lawrence,2015 Q1
North Beaver Township Police Dept,,,,,Lawrence,
Pulaski Township Police Department,4,4,1,100,Lawrence,2015 Q1
Shenango Township Police Dept,10,5,0.5,50,Lawrence,2015 Q1
Union Township Police Dept,91,72,0.7912087912087912,79.12087912087912,Lawrence,2015 Q1
Wampum Boro Police Dept,2,1,0.5,50,Lawrence,2015 Q1
Wayne Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Lawrence,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
