Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Annville Township Police Dept,24,22,0.9166666666666666,91.66666666666666,Lebanon,2015 Q1
Cleona Boro Police Dept,4,3,0.75,75,Lebanon,2015 Q1
Cornwall Boro Police Dept,8,8,1,100,Lebanon,2015 Q1
Fort Indiantown Police Dept,2,2,1,100,Lebanon,2015 Q1
Lebanon City Police Dept,222,211,0.9504504504504504,95.04504504504504,Lebanon,2015 Q1
"Lebanon County, Detectives",45,41,0.9111111111111111,91.11111111111111,Lebanon,2015 Q1
Myerstown Police Dept,1,1,1,100,Lebanon,2015 Q1
N Annville Township Police Dept,1,1,1,100,Lebanon,2015 Q1
N Lebanon Township Police Dept,73,72,0.9863013698630136,98.63013698630137,Lebanon,2015 Q1
N Londonderry Township Police Dept,27,26,0.9629629629629629,96.29629629629629,Lebanon,2015 Q1
North Cornwall Township Police Dept,42,41,0.9761904761904762,97.61904761904762,Lebanon,2015 Q1
Palmyra Boro Police Dept,45,45,1,100,Lebanon,2015 Q1
S Lebanon Township Police Dept,23,21,0.9130434782608695,91.30434782608695,Lebanon,2015 Q1
S Londonderry Township Police Dept,25,24,0.96,96,Lebanon,2015 Q1
South Annville Township Police Dept,1,1,1,100,Lebanon,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
