Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Annville Township Police Dept,19,19,1,100,Lebanon,2015 Q4
Cornwall Boro Police Dept,8,8,1,100,Lebanon,2015 Q4
Fort Indiantown Police Dept,6,5,0.8333333333333334,83.33333333333334,Lebanon,2015 Q4
Lebanon City Police Dept,168,162,0.9642857142857143,96.42857142857143,Lebanon,2015 Q4
"Lebanon County, Detectives",30,29,0.9666666666666667,96.66666666666667,Lebanon,2015 Q4
Millcreek Township Police Dept,3,3,1,100,Lebanon,2015 Q4
N Lebanon Township Police Dept,63,62,0.9841269841269841,98.4126984126984,Lebanon,2015 Q4
N Londonderry Township Police Dept,38,36,0.9473684210526315,94.73684210526315,Lebanon,2015 Q4
North Cornwall Township Police Dept,23,20,0.8695652173913043,86.95652173913044,Lebanon,2015 Q4
Palmyra Boro Police Dept,22,21,0.9545454545454546,95.45454545454545,Lebanon,2015 Q4
S Lebanon Township Police Dept,12,12,1,100,Lebanon,2015 Q4
S Londonderry Township Police Dept,15,15,1,100,Lebanon,2015 Q4
South Annville Township Police Dept,1,1,1,100,Lebanon,2015 Q4
