Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Alburtis Boro Pd Police Dept,2,2,1,100,Lehigh,2015 Q2
Allentown Police Dept,715,692,0.9678321678321679,96.78321678321679,Lehigh,2015 Q2
Bethlehem City Police Dept,93,91,0.978494623655914,97.84946236559139,Lehigh,2015 Q2
Catasauqua Police Dept,11,11,1,100,Lehigh,2015 Q2
Coopersburg Police Dept,4,4,1,100,Lehigh,2015 Q2
Coplay Borough Police Dept.,1,0,0,0,Lehigh,2015 Q2
Emmaus Boro Police Dept,14,13,0.9285714285714286,92.85714285714286,Lehigh,2015 Q2
Fountain Hill Police Dept,18,16,0.8888888888888888,88.88888888888889,Lehigh,2015 Q2
Lehigh County District Attorney,1,1,1,100,Lehigh,2015 Q2
LEHIGH COUNTY JAIL,6,6,1,100,Lehigh,2015 Q2
"Lehigh County, Detectives",43,35,0.813953488372093,81.3953488372093,Lehigh,2015 Q2
Lower Milford Township Police Dept,3,3,1,100,Lehigh,2015 Q2
Macungie Boro Police Dept,7,7,1,100,Lehigh,2015 Q2
Salisbury Township Police Dept,22,21,0.9545454545454546,95.45454545454545,Lehigh,2015 Q2
Slatington Police Dept,37,32,0.8648648648648649,86.48648648648648,Lehigh,2015 Q2
South Whitehall Township Police Dept,85,82,0.9647058823529412,96.47058823529412,Lehigh,2015 Q2
Upper Macungie Township Police Dept,56,52,0.9285714285714286,92.85714285714286,Lehigh,2015 Q2
Upper Saucon Township Police Dept,12,8,0.6666666666666666,66.66666666666666,Lehigh,2015 Q2
Whitehall Township Police Dept,104,98,0.9423076923076923,94.23076923076923,Lehigh,2015 Q2
