Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Ashley Boro Police Dept,13,1,0.07692307692307693,7.6923076923076925,Luzerne,2015 Q4
Avoca Boro Police Dept,6,0,0,0,Luzerne,2015 Q4
Butler Township Police Dept,26,19,0.7307692307692307,73.07692307692307,Luzerne,2015 Q4
Courtdale Boro Police Dept,8,2,0.25,25,Luzerne,2015 Q4
Conyngham Boro Police Dept,1,0,0,0,Luzerne,2015 Q4
Dallas Boro Police Dept,25,17,0.68,68,Luzerne,2015 Q4
Dallas Township PD,19,13,0.6842105263157895,68.42105263157895,Luzerne,2015 Q4
"Dept Corrections, Central",,,,,,
Dupont Boro Police Dept,4,1,0.25,25,Luzerne,2015 Q4
Duryea Boro Police Dept,22,15,0.6818181818181818,68.18181818181817,Luzerne,2015 Q4
Edwardsville Boro Police Dept,32,10,0.3125,31.25,Luzerne,2015 Q4
Exeter Boro Police Dept,17,12,0.7058823529411765,70.58823529411765,Luzerne,2015 Q4
Exeter Township Police Dept,,,,,,
Fairview Township Police Dept,5,1,0.2,20,Luzerne,2015 Q4
Forty Fort Pd Police Dept,6,4,0.6666666666666666,66.66666666666666,Luzerne,2015 Q4
Freeland Boro Police Dept,12,6,0.5,50,Luzerne,2015 Q4
Hanover Township Police Dept,33,24,0.7272727272727273,72.72727272727273,Luzerne,2015 Q4
Harveys Lake Boro Police Dept,17,6,0.35294117647058826,35.294117647058826,Luzerne,2015 Q4
Hazleton Area School District,1,0,0,0,Luzerne,2015 Q4
Hazleton City Police Dept,72,42,0.5833333333333334,58.333333333333336,Luzerne,2015 Q4
Hughestown Boro Police Dept,6,2,0.3333333333333333,33.33333333333333,Luzerne,2015 Q4
Jackson Township Police Dept,4,3,0.75,75,Luzerne,2015 Q4
Jenkins Township Police Dept,8,4,0.5,50,Luzerne,2015 Q4
Kingston Boro Police Dept,90,58,0.6444444444444445,64.44444444444444,Luzerne,2015 Q4
Kingston Township Police Dept,24,11,0.4583333333333333,45.83333333333333,Luzerne,2015 Q4
Laflin Boro Police Dept,3,0,0,0,Luzerne,2015 Q4
Larksville Boro Police Dept,5,2,0.4,40,Luzerne,2015 Q4
Lehman Township Police Dept,10,8,0.8,80,Luzerne,2015 Q4
Luzerne Boro Police Dept,8,5,0.625,62.5,Luzerne,2015 Q4
Luzerne County Sheriff,1,0,0,0,Luzerne,2015 Q4
"Luzerne County, Detectives",9,5,0.5555555555555556,55.55555555555556,Luzerne,2015 Q4
"Luzerne County, Prison",3,1,0.3333333333333333,33.33333333333333,Luzerne,2015 Q4
Luzerne Intermediate unit,,,,,,
Nanticoke Dpt Police Dept,45,10,0.2222222222222222,22.22222222222222,Luzerne,2015 Q4
Nescopeck Boro Police Dept,2,0,0,0,Luzerne,2015 Q4
Newport Township Police Dept,17,2,0.11764705882352941,11.76470588235294,Luzerne,2015 Q4
"Penn State, University PD",,,,,,
Pittston City Police Dept,53,19,0.3584905660377358,35.84905660377358,Luzerne,2015 Q4
Pittston Township Police Dept,48,34,0.7083333333333334,70.83333333333334,Luzerne,2015 Q4
Plains Township Police Dept,52,25,0.4807692307692308,48.07692307692308,Luzerne,2015 Q4
Plymouth Boro Police Dept,12,0,0,0,Luzerne,2015 Q4
Rice Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Luzerne,2015 Q4
Salem Township Police Dept,5,3,0.6,60,Luzerne,2015 Q4
Sugar Notch Boro Police Dept,1,1,1,100,Luzerne,2015 Q4
Sugarloaf Township Police Dept,11,8,0.7272727272727273,72.72727272727273,Luzerne,2015 Q4
Swoyersville Boro Police Dept,8,6,0.75,75,Luzerne,2015 Q4
West Hazleton Boro Police Dept,23,7,0.30434782608695654,30.434782608695656,Luzerne,2015 Q4
West Pittston Boro Police Dept,13,8,0.6153846153846154,61.53846153846154,Luzerne,2015 Q4
West Wyoming Boro Police Dept,2,1,0.5,50,Luzerne,2015 Q4
White Haven Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Luzerne,2015 Q4
Wilkes Barre City Police Dept,463,276,0.5961123110151187,59.611231101511876,Luzerne,2015 Q4
Wilkes Barre Township Police Dept,114,92,0.8070175438596491,80.7017543859649,Luzerne,2015 Q4
Wilkes-Barre Area School District,,,,,,
Wright Township Police Dept,11,4,0.36363636363636365,36.36363636363637,Luzerne,2015 Q4
Wyoming Boro Police Dept,8,4,0.5,50,Luzerne,2015 Q4
