Agency,Total,Printed,Match Rate Orig,Rate,County,Release
"Dept Corrections, Central",2,2,1,100,Lycoming,2015 Q3
Duboistown Boro Police Dept,3,3,1,100,Lycoming,2015 Q3
Hughesville Boro Police Dept,13,13,1,100,Lycoming,2015 Q3
"Lycoming County, Detectives",13,10,0.7692307692307693,76.92307692307693,Lycoming,2015 Q3
Montgomery Boro Police Dept,5,5,1,100,Lycoming,2015 Q3
Montoursville Boro Police Dept,37,35,0.9459459459459459,94.5945945945946,Lycoming,2015 Q3
Muncy Boro Police Dept,12,11,0.9166666666666666,91.66666666666666,Lycoming,2015 Q3
Muncy Township Police Dept,18,18,1,100,Lycoming,2015 Q3
Old Lycoming Township Police Dept,51,48,0.9411764705882353,94.11764705882352,Lycoming,2015 Q3
"Penna Coll Of Tech, College PD",7,7,1,100,Lycoming,2015 Q3
S Williamsport Police Dept,16,15,0.9375,93.75,Lycoming,2015 Q3
Tiadaghton Valley,38,33,0.868421052631579,86.8421052631579,Lycoming,2015 Q3
Williamsport City Police Dept,183,148,0.8087431693989071,80.87431693989072,Lycoming,2015 Q3
