Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bradford City Police Dept,58,37,0.6379310344827587,63.793103448275865,McKean,2015 Q2
Bradford Township Police Dept,6,5,0.8333333333333334,83.33333333333334,McKean,2015 Q2
Foster Township Police Dept,38,28,0.7368421052631579,73.68421052631578,McKean,2015 Q2
Kane Borough Police Dept,7,6,0.8571428571428571,85.71428571428571,McKean,2015 Q2
"Mckean County, Detectives",8,6,0.75,75,McKean,2015 Q2
Mt Jewett Boro Police Dept,,,,,,
Otto Eldred Regional Police Dept,1,0,0,0,McKean,2015 Q2
Port Allegany Police Dept,3,1,0.3333333333333333,33.33333333333333,McKean,2015 Q2
Smethport Boro Police Dept,3,0,0,0,McKean,2015 Q2
Univ Of Pittsburgh Police Dept,6,5,0.8333333333333334,83.33333333333334,McKean,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
