Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Greenville Boro Police Dept,32,20,0.625,62.5,Mercer,2015 Q1
Grove City Boro Police Dept,21,21,1,100,Mercer,2015 Q1
Hempfield Township Police Dept,27,20,0.7407407407407407,74.07407407407408,Mercer,2015 Q1
Hermitage City Police Dept,200,174,0.87,87,Mercer,2015 Q1
Jamestown Police Dept,,,,,Mercer,
Jefferson Township Pd Police Dept,10,9,0.9,90,Mercer,2015 Q1
Mercer Boro Police Dept,12,1,0.08333333333333333,8.333333333333332,Mercer,2015 Q1
Mercer County Sheriff,4,3,0.75,75,Mercer,2015 Q1
"Mercer County, Detectives",2,1,0.5,50,Mercer,2015 Q1
New Wilmington Boro Police Dept,,,,,Mercer,
Pymatuning Township Police Dept,14,6,0.42857142857142855,42.857142857142854,Mercer,2015 Q1
Sharon City Police Dept,91,77,0.8461538461538461,84.61538461538461,Mercer,2015 Q1
Sharpsville Boro Police Dept,16,12,0.75,75,Mercer,2015 Q1
Shenango Township Police Dept,3,3,1,100,Mercer,2015 Q1
South Pymatuning Police Dept,6,5,0.8333333333333334,83.33333333333334,Mercer,2015 Q1
Southwest Mercer Reg Police Dept,53,47,0.8867924528301887,88.67924528301887,Mercer,2015 Q1
Stoneboro Police Dept,1,0,0,0,Mercer,2015 Q1
"Thiel, College PD",1,0,0,0,Mercer,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
