Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Greenville Boro Police Dept,47,27,0.574468085106383,57.446808510638306,Mercer,2015 Q4
Grove City Boro Police Dept,33,33,1,100,Mercer,2015 Q4
Hempfield Township Police Dept,26,20,0.7692307692307693,76.92307692307693,Mercer,2015 Q4
Hermitage City Police Dept,162,150,0.9259259259259259,92.5925925925926,Mercer,2015 Q4
Jamestown Police Dept,3,1,0.3333333333333333,33.33333333333333,Mercer,2015 Q4
Jefferson Township Pd Police Dept,4,3,0.75,75,Mercer,2015 Q4
Mercer Boro Police Dept,13,5,0.38461538461538464,38.46153846153847,Mercer,2015 Q4
Mercer County Sheriff,1,1,1,100,Mercer,2015 Q4
"Mercer County, Detectives",1,1,1,100,Mercer,2015 Q4
New Wilmington Boro Police Dept,1,1,1,100,Mercer,2015 Q4
Pymatuning Township Police Dept,14,6,0.42857142857142855,42.857142857142854,Mercer,2015 Q4
Sandy Lake Boro Police Dept,2,2,1,100,Mercer,2015 Q4
Sharon City Police Dept,72,56,0.7777777777777778,77.77777777777779,Mercer,2015 Q4
Sharpsville Boro Police Dept,15,13,0.8666666666666667,86.66666666666667,Mercer,2015 Q4
Shenango Township Police Dept,17,10,0.5882352941176471,58.82352941176471,Mercer,2015 Q4
South Pymatuning Police Dept,6,1,0.16666666666666666,16.666666666666664,Mercer,2015 Q4
Southwest Mercer Reg Police Dept,60,52,0.8666666666666667,86.66666666666667,Mercer,2015 Q4
"Thiel, College PD",1,0,0,0,Mercer,2015 Q4
