Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Barrett Township Police Dept,1,1,1,100,Monroe,2015 Q4
"East Stroudsburg, University PD",2,1,0.5,50,Monroe,2015 Q4
Hazleton City Police Dept,1,1,1,100,Monroe,2015 Q4
Monroe County District Attorney,41,36,0.8780487804878049,87.8048780487805,Monroe,2015 Q4
Pocono Mt Regl Police Dept,175,154,0.88,88,Monroe,2015 Q4
Pocono Township Police Dept,83,72,0.8674698795180723,86.74698795180723,Monroe,2015 Q4
Stroud Area Regional Police Dept,232,218,0.9396551724137931,93.96551724137932,Monroe,2015 Q4
Stroudsburg Parking Enforcement,1,1,1,100,Monroe,2015 Q4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
