Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Abington Police Dept,230,207,0.9,90,Montgomery,2015 Q2
Ambler Boro Police Dept,7,7,1,100,Montgomery,2015 Q2
Bridgeport Boro Police Dept,13,13,1,100,Montgomery,2015 Q2
Bryn Athyn Police Dept,3,2,0.6666666666666666,66.66666666666666,Montgomery,2015 Q2
Cheltenham Township Police Dept,105,100,0.9523809523809523,95.23809523809523,Montgomery,2015 Q2
Collegeville Boro Police Dept,11,7,0.6363636363636364,63.63636363636363,Montgomery,2015 Q2
Conshohocken Boro Police Dept,28,17,0.6071428571428571,60.71428571428571,Montgomery,2015 Q2
Douglass Township Police Dept,25,19,0.76,76,Montgomery,2015 Q2
East Norriton Police Dept,62,49,0.7903225806451613,79.03225806451613,Montgomery,2015 Q2
Franconia Township Police Dept,16,14,0.875,87.5,Montgomery,2015 Q2
Hatboro Boro Police Dept,20,17,0.85,85,Montgomery,2015 Q2
Hatfield Police Dept,54,51,0.9444444444444444,94.44444444444444,Montgomery,2015 Q2
Horsham Police Dept,41,40,0.975609756097561,97.5609756097561,Montgomery,2015 Q2
Jenkintown Boro Police Dept,14,10,0.7142857142857143,71.42857142857143,Montgomery,2015 Q2
Lansdale Boro Police Dept,46,42,0.9130434782608695,91.30434782608695,Montgomery,2015 Q2
Limerick Township Police Dept,89,77,0.8651685393258427,86.51685393258427,Montgomery,2015 Q2
Lower Frederick Police Dept,4,4,1,100,Montgomery,2015 Q2
Lower Gwynedd Police Dept,12,8,0.6666666666666666,66.66666666666666,Montgomery,2015 Q2
Lower Merion Police Dept,180,168,0.9333333333333333,93.33333333333333,Montgomery,2015 Q2
Lower Moreland Township Police Dept,54,45,0.8333333333333334,83.33333333333334,Montgomery,2015 Q2
Lower Pottsgrove Police Dept,42,37,0.8809523809523809,88.09523809523809,Montgomery,2015 Q2
Lower Providence Police Dept,74,68,0.918918918918919,91.8918918918919,Montgomery,2015 Q2
Lower Salford Township Police Dept,22,21,0.9545454545454546,95.45454545454545,Montgomery,2015 Q2
Marlborough Township Police Dept,5,4,0.8,80,Montgomery,2015 Q2
Montgomery County District Attorney,1,1,1,100,Montgomery,2015 Q2
"Montgomery County, Detectives",44,37,0.8409090909090909,84.0909090909091,Montgomery,2015 Q2
Montgomery Township Police Dept,147,136,0.9251700680272109,92.51700680272108,Montgomery,2015 Q2
New Hanover Township Police Dept,13,6,0.46153846153846156,46.15384615384615,Montgomery,2015 Q2
Norristown Boro Police Dept,264,230,0.8712121212121212,87.12121212121212,Montgomery,2015 Q2
North Wales Boro Police Dept,8,7,0.875,87.5,Montgomery,2015 Q2
Plymouth Township Police Dept,109,92,0.8440366972477065,84.40366972477065,Montgomery,2015 Q2
Pottstown Police Dept,294,267,0.9081632653061225,90.81632653061224,Montgomery,2015 Q2
Reading City Police Dept,3,3,1,100,Montgomery,2015 Q2
Rockledge Boro Police Dept,10,10,1,100,Montgomery,2015 Q2
Royersford Boro P Police Dept,16,11,0.6875,68.75,Montgomery,2015 Q2
Souderton Boro Police Dept,10,10,1,100,Montgomery,2015 Q2
Springfield Township Police Dept,29,21,0.7241379310344828,72.41379310344827,Montgomery,2015 Q2
Telford Boro Police Dept,4,3,0.75,75,Montgomery,2015 Q2
Towamencin Township Police Dept,39,39,1,100,Montgomery,2015 Q2
Upper Dublin Township Police Dept,49,45,0.9183673469387755,91.83673469387756,Montgomery,2015 Q2
Upper Gwynedd Township Police Dept,25,23,0.92,92,Montgomery,2015 Q2
Upper Merion Township Police Dept,180,165,0.9166666666666666,91.66666666666666,Montgomery,2015 Q2
Upper Moreland Township Police Dept,103,92,0.8932038834951457,89.32038834951457,Montgomery,2015 Q2
Upper Perkiomen Police Dept,22,17,0.7727272727272727,77.27272727272727,Montgomery,2015 Q2
Upper Pottsgrove Police Dept,3,3,1,100,Montgomery,2015 Q2
Upper Providence Police Dept,50,33,0.66,66,Montgomery,2015 Q2
West Conshohocken Police Dept,6,6,1,100,Montgomery,2015 Q2
West Norriton Township Police Dept,81,74,0.9135802469135802,91.35802469135803,Montgomery,2015 Q2
West Pottsgrove Police Dept,16,13,0.8125,81.25,Montgomery,2015 Q2
Whitemarsh Township Police Dept,33,32,0.9696969696969697,96.96969696969697,Montgomery,2015 Q2
Whitpain Township Police Dept,47,40,0.851063829787234,85.1063829787234,Montgomery,2015 Q2
