Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Abington Police Dept,222,204,0.918918918918919,91.8918918918919,Montgomery,2015 Q3
Ambler Boro Police Dept,8,8,1,100,Montgomery,2015 Q3
Bryn Athyn Police Dept,1,1,1,100,Montgomery,2015 Q3
Cheltenham Township Police Dept,90,85,0.9444444444444444,94.44444444444444,Montgomery,2015 Q3
Franconia Township Police Dept,11,10,0.9090909090909091,90.9090909090909,Montgomery,2015 Q3
Hatfield Police Dept,37,37,1,100,Montgomery,2015 Q3
Lower Merion Police Dept,139,119,0.8561151079136691,85.61151079136691,Montgomery,2015 Q3
Lower Pottsgrove Police Dept,44,42,0.9545454545454546,95.45454545454545,Montgomery,2015 Q3
North Wales Boro Police Dept,8,7,0.875,87.5,Montgomery,2015 Q3
Souderton Boro Police Dept,7,7,1,100,Montgomery,2015 Q3
Telford Boro Police Dept,5,2,0.4,40,Montgomery,2015 Q3
Upper Dublin Township Police Dept,49,49,1,100,Montgomery,2015 Q3
Upper Gwynedd Township Police Dept,16,11,0.6875,68.75,Montgomery,2015 Q3
Upper Pottsgrove Police Dept,14,9,0.6428571428571429,64.28571428571429,Montgomery,2015 Q3
Upper Providence Police Dept,53,35,0.660377358490566,66.0377358490566,Montgomery,2015 Q3
West Norriton Township Police Dept,82,75,0.9146341463414634,91.46341463414635,Montgomery,2015 Q3
West Pottsgrove Police Dept,21,14,0.6666666666666666,66.66666666666666,Montgomery,2015 Q3
Bridgeport Boro Police Dept,16,15,0.9375,93.75,Montgomery,2015 Q3
Collegeville Boro Police Dept,14,10,0.7142857142857143,71.42857142857143,Montgomery,2015 Q3
Douglass Township Police Dept,23,18,0.782608695652174,78.26086956521739,Montgomery,2015 Q3
Jenkintown Boro Police Dept,13,5,0.38461538461538464,38.46153846153847,Montgomery,2015 Q3
Limerick Township Police Dept,41,36,0.8780487804878049,87.8048780487805,Montgomery,2015 Q3
Marlborough Township Police Dept,5,2,0.4,40,Montgomery,2015 Q3
"Montgomery County, Detectives",49,43,0.8775510204081632,87.75510204081633,Montgomery,2015 Q3
Norristown Boro Police Dept,311,266,0.8553054662379421,85.53054662379421,Montgomery,2015 Q3
Reading City Police Dept,1,1,1,100,Montgomery,2015 Q3
Rockledge Boro Police Dept,9,6,0.6666666666666666,66.66666666666666,Montgomery,2015 Q3
Royersford Boro P Police Dept,12,9,0.75,75,Montgomery,2015 Q3
Springfield Township Police Dept,40,32,0.8,80,Montgomery,2015 Q3
Towamencin Township Police Dept,40,39,0.975,97.5,Montgomery,2015 Q3
Upper Merion Township Police Dept,170,159,0.9352941176470588,93.52941176470588,Montgomery,2015 Q3
Upper Perkiomen Police Dept,27,22,0.8148148148148148,81.48148148148148,Montgomery,2015 Q3
West Conshohocken Police Dept,12,9,0.75,75,Montgomery,2015 Q3
Whitemarsh Township Police Dept,29,24,0.8275862068965517,82.75862068965517,Montgomery,2015 Q3
Conshohocken Boro Police Dept,46,29,0.6304347826086957,63.04347826086957,Montgomery,2015 Q3
East Norriton Police Dept,45,38,0.8444444444444444,84.44444444444444,Montgomery,2015 Q3
Hatboro Boro Police Dept,16,11,0.6875,68.75,Montgomery,2015 Q3
Horsham Police Dept,30,27,0.9,90,Montgomery,2015 Q3
Lansdale Boro Police Dept,45,43,0.9555555555555556,95.55555555555556,Montgomery,2015 Q3
Lower Frederick Police Dept,5,4,0.8,80,Montgomery,2015 Q3
Lower Gwynedd Police Dept,11,9,0.8181818181818182,81.81818181818183,Montgomery,2015 Q3
Lower Moreland Township Police Dept,49,43,0.8775510204081632,87.75510204081633,Montgomery,2015 Q3
Lower Providence Police Dept,75,68,0.9066666666666666,90.66666666666666,Montgomery,2015 Q3
Lower Salford Township Police Dept,23,20,0.8695652173913043,86.95652173913044,Montgomery,2015 Q3
Montgomery Township Police Dept,144,140,0.9722222222222222,97.22222222222221,Montgomery,2015 Q3
New Hanover Township Police Dept,17,14,0.8235294117647058,82.35294117647058,Montgomery,2015 Q3
Plymouth Township Police Dept,109,90,0.8256880733944955,82.56880733944955,Montgomery,2015 Q3
Pottstown Police Dept,233,205,0.8798283261802575,87.98283261802575,Montgomery,2015 Q3
Upper Moreland Township Police Dept,105,96,0.9142857142857143,91.42857142857143,Montgomery,2015 Q3
Whitpain Township Police Dept,36,30,0.8333333333333334,83.33333333333334,Montgomery,2015 Q3
