Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bangor Boro Police Dept,22,20,0.9090909090909091,90.9090909090909,Northampton,2015 Q4
Bethlehem City Police Dept,287,248,0.8641114982578397,86.41114982578398,Northampton,2015 Q4
Bethlehem Township Police Dept,80,80,1,100,Northampton,2015 Q4
Bushkill Township Police Dept,13,10,0.7692307692307693,76.92307692307693,Northampton,2015 Q4
Colonial Regional Police Dept,92,85,0.9239130434782609,92.3913043478261,Northampton,2015 Q4
East Bangor Police Dept,1,1,1,100,Northampton,2015 Q4
Easton Area School District,,,,,,
Easton Police Dept,194,171,0.8814432989690721,88.14432989690721,Northampton,2015 Q4
Forks Township Police Dept,30,30,1,100,Northampton,2015 Q4
Freemansburg Police Dept,29,29,1,100,Northampton,2015 Q4
Hellertown Boro Police Dept,26,23,0.8846153846153846,88.46153846153845,Northampton,2015 Q4
"Lafayette College, Public Safety",1,1,1,100,Northampton,2015 Q4
"Lehigh County, Detectives",1,1,1,100,Northampton,2015 Q4
Lehigh Township Police Dept,23,21,0.9130434782608695,91.30434782608695,Northampton,2015 Q4
"Lehigh, University PD",16,15,0.9375,93.75,Northampton,2015 Q4
Lower Saucon Police Dept,47,44,0.9361702127659575,93.61702127659575,Northampton,2015 Q4
Moore Township Police Dept,28,27,0.9642857142857143,96.42857142857143,Northampton,2015 Q4
"Moravian, College PD",1,1,1,100,Northampton,2015 Q4
Nazareth Boro Police Dept,15,14,0.9333333333333333,93.33333333333333,Northampton,2015 Q4
North Catasauqua Police Dept,4,4,1,100,Northampton,2015 Q4
Northampton Borough Police Dept,20,20,1,100,Northampton,2015 Q4
Northampton Area SD Police,,,,,,
Northampton Cnt District Attorney,4,4,1,100,Northampton,2015 Q4
Northampton County Sheriff,2,2,1,100,Northampton,2015 Q4
"Northampton County, Detectives",4,3,0.75,75,Northampton,2015 Q4
Palmer Township Police Dept,36,35,0.9722222222222222,97.22222222222221,Northampton,2015 Q4
Pen Argyl Police Dept,1,1,1,100,Northampton,2015 Q4
Plainfield Township Police Dept,,,,,,
Portland Police Dept,12,11,0.9166666666666666,91.66666666666666,Northampton,2015 Q4
Roseto Boro Police Dept,2,2,1,100,Northampton,2015 Q4
Slate Belt Regional PD,28,27,0.9642857142857143,96.42857142857143,Northampton,2015 Q4
Stockertown Police Dept,12,11,0.9166666666666666,91.66666666666666,Northampton,2015 Q4
Tatamy Boro Police Dept,5,5,1,100,Northampton,2015 Q4
Upper Naz Township Police Dept,8,7,0.875,87.5,Northampton,2015 Q4
Walnutport Police Dept,11,9,0.8181818181818182,81.81818181818183,Northampton,2015 Q4
Washington Township Police Dept,1,1,1,100,Northampton,2015 Q4
Wilson Boro Police Dept,41,36,0.8780487804878049,87.8048780487805,Northampton,2015 Q4
Wind Gap Police Dept,6,1,0.16666666666666666,16.666666666666664,Northampton,2015 Q4
,,,,,,
,,,,,,
,,,,,,
