Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bangor Boro Police Dept,14,10,0.7142857142857143,71.42857142857143,Northampton,2015 Q3
Bethlehem City Police Dept,330,281,0.8515151515151516,85.15151515151516,Northampton,2015 Q3
Bethlehem Township Police Dept,61,59,0.9672131147540983,96.72131147540983,Northampton,2015 Q3
Bushkill Township Police Dept,9,5,0.5555555555555556,55.55555555555556,Northampton,2015 Q3
Colonial Regional Police Dept,86,82,0.9534883720930233,95.34883720930233,Northampton,2015 Q3
Easton Area School District,1,1,1,100,Northampton,2015 Q3
Easton Police Dept,166,146,0.8795180722891566,87.95180722891565,Northampton,2015 Q3
Forks Township Police Dept,26,25,0.9615384615384616,96.15384615384616,Northampton,2015 Q3
Freemansburg Police Dept,32,32,1,100,Northampton,2015 Q3
Hellertown Boro Police Dept,17,15,0.8823529411764706,88.23529411764706,Northampton,2015 Q3
"Lehigh County, Detectives",1,1,1,100,Northampton,2015 Q3
Lehigh Township Police Dept,29,26,0.896551724137931,89.65517241379311,Northampton,2015 Q3
"Lehigh, University PD",6,6,1,100,Northampton,2015 Q3
Lower Saucon Police Dept,34,25,0.7352941176470589,73.52941176470588,Northampton,2015 Q3
Moore Township Police Dept,19,18,0.9473684210526315,94.73684210526315,Northampton,2015 Q3
Nazareth Boro Police Dept,23,22,0.9565217391304348,95.65217391304348,Northampton,2015 Q3
North Catasauqua Police Dept,5,5,1,100,Northampton,2015 Q3
Northampton Borough Police Dept,16,16,1,100,Northampton,2015 Q3
Northampton Cnt District Attorney,3,2,0.6666666666666666,66.66666666666666,Northampton,2015 Q3
Northampton County Sheriff,3,3,1,100,Northampton,2015 Q3
"Northampton County, Detectives",3,3,1,100,Northampton,2015 Q3
Palmer Township Police Dept,55,54,0.9818181818181818,98.18181818181819,Northampton,2015 Q3
Pen Argyl Police Dept,2,2,1,100,Northampton,2015 Q3
Plainfield Township Police Dept,1,1,1,100,Northampton,2015 Q3
Portland Police Dept,12,11,0.9166666666666666,91.66666666666666,Northampton,2015 Q3
Roseto Boro Police Dept,2,2,1,100,Northampton,2015 Q3
Slate Belt Regional PD,42,38,0.9047619047619048,90.47619047619048,Northampton,2015 Q3
Stockertown Police Dept,4,4,1,100,Northampton,2015 Q3
Tatamy Boro Police Dept,1,1,1,100,Northampton,2015 Q3
Upper Naz Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Northampton,2015 Q3
Walnutport Police Dept,9,8,0.8888888888888888,88.88888888888889,Northampton,2015 Q3
Washington Township Police Dept,2,0,0,0,Northampton,2015 Q3
Wilson Boro Police Dept,43,34,0.7906976744186046,79.06976744186046,Northampton,2015 Q3
Wind Gap Police Dept,1,0,0,0,Northampton,2015 Q3
