Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Coal Township Police Dept,50,40,0.8,80,Northumberland,2015 Q3
Danville Boro Police Dept,1,1,1,100,Northumberland,2015 Q3
Kulpmont Boro Police Dept,9,7,0.7777777777777778,77.77777777777779,Northumberland,2015 Q3
Milton Boro Police Dept,36,34,0.9444444444444444,94.44444444444444,Northumberland,2015 Q3
Mount Carmel Boro Police Dept,45,37,0.8222222222222222,82.22222222222221,Northumberland,2015 Q3
Mount Carmel Township Police Dept,33,31,0.9393939393939394,93.93939393939394,Northumberland,2015 Q3
Northumberland Boro Police Dept,6,3,0.5,50,Northumberland,2015 Q3
"Northumberland County, Detectives",1,0,0,0,Northumberland,2015 Q3
Northumberland District Attorney,5,5,1,100,Northumberland,2015 Q3
Point Township Police Dept,7,6,0.8571428571428571,85.71428571428571,Northumberland,2015 Q3
Ralpho Township Police Dept,6,4,0.6666666666666666,66.66666666666666,Northumberland,2015 Q3
Riverside Boro Police Dept,9,5,0.5555555555555556,55.55555555555556,Northumberland,2015 Q3
Shamokin Police Dept,64,18,0.28125,28.125,Northumberland,2015 Q3
Sunbury City Police Dept,57,36,0.631578947368421,63.1578947368421,Northumberland,2015 Q3
Watsontown Police Dept,10,10,1,100,Northumberland,2015 Q3
Zerbe Township Police Dept,4,3,0.75,75,Northumberland,2015 Q3
