Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Coal Township Police Dept,43,39,0.9069767441860465,90.69767441860465,Northumberland,2015 Q4
Kulpmont Boro Police Dept,8,3,0.375,37.5,Northumberland,2015 Q4
Milton Boro Police Dept,21,16,0.7619047619047619,76.19047619047619,Northumberland,2015 Q4
Mount Carmel Boro Police Dept,75,64,0.8533333333333334,85.33333333333334,Northumberland,2015 Q4
Mount Carmel Township Police Dept,20,14,0.7,70,Northumberland,2015 Q4
Northumberland Boro Police Dept,5,3,0.6,60,Northumberland,2015 Q4
Northumberland District Attorney,3,2,0.6666666666666666,66.66666666666666,Northumberland,2015 Q4
Point Township Police Dept,9,8,0.8888888888888888,88.88888888888889,Northumberland,2015 Q4
Ralpho Township Police Dept,2,2,1,100,Northumberland,2015 Q4
Riverside Boro Police Dept,3,2,0.6666666666666666,66.66666666666666,Northumberland,2015 Q4
Shamokin Police Dept,26,2,0.07692307692307693,7.6923076923076925,Northumberland,2015 Q4
Sunbury City Police Dept,49,28,0.5714285714285714,57.14285714285714,Northumberland,2015 Q4
Watsontown Police Dept,14,13,0.9285714285714286,92.85714285714286,Northumberland,2015 Q4
Zerbe Township Police Dept,1,0,0,0,Northumberland,2015 Q4
