Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Ashland Boro Police Dept,15,8,0.5333333333333333,53.333333333333336,Schuylkill,2015 Q1
Branch Township Police Dept,,,,,Schuylkill,
Butler Township Police Dept,5,4,0.8,80,Schuylkill,2015 Q1
Cass Township Police Dept,1,1,1,100,Schuylkill,2015 Q1
Coaldale Police Dept,19,11,0.5789473684210527,57.89473684210527,Schuylkill,2015 Q1
East Union Township Police Dept,4,0,0,0,Schuylkill,2015 Q1
Foster Township Police Department,,,,,Schuylkill,
Frackville Boro Police Dept,29,17,0.5862068965517241,58.620689655172406,Schuylkill,2015 Q1
Girardville Police Dept,6,4,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q1
Hegins Township Police Dept,4,1,0.25,25,Schuylkill,2015 Q1
Kline Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Schuylkill,2015 Q1
Mahanoy City Police Dept,40,29,0.725,72.5,Schuylkill,2015 Q1
Mahanoy Township Police Dept,3,2,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q1
Mcadoo Police Dept,20,12,0.6,60,Schuylkill,2015 Q1
Minersville Police Dept,21,15,0.7142857142857143,71.42857142857143,Schuylkill,2015 Q1
New Castle Township Police Dept,1,1,1,100,Schuylkill,2015 Q1
New Philadelphia Police Dept,1,0,0,0,Schuylkill,2015 Q1
Orwigsburg Police Dept,6,4,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q1
"Penn State, University PD",4,0,0,0,Schuylkill,2015 Q1
Pine Grove Boro Police Dept,5,4,0.8,80,Schuylkill,2015 Q1
Port Carbon Police Dept,,,,,Schuylkill,
Pottsville Police Dept,146,84,0.5753424657534246,57.534246575342465,Schuylkill,2015 Q1
Reilly Township Police Dept,1,1,1,100,Schuylkill,2015 Q1
Rush Township Police Dept,43,29,0.6744186046511628,67.44186046511628,Schuylkill,2015 Q1
Ryan Township Police Dept,1,1,1,100,Schuylkill,2015 Q1
Schuylkill County District Attorney,3,3,1,100,Schuylkill,2015 Q1
Schuylkill County Sheriff,,,,,Schuylkill,
Schuylkill Haven Police Dept,48,37,0.7708333333333334,77.08333333333334,Schuylkill,2015 Q1
Shenandoah Police Dept,84,46,0.5476190476190477,54.761904761904766,Schuylkill,2015 Q1
St Clair Police Dept,21,13,0.6190476190476191,61.904761904761905,Schuylkill,2015 Q1
Tamaqua Police Dept,81,38,0.4691358024691358,46.913580246913575,Schuylkill,2015 Q1
Tower City Police Dept,2,2,1,100,Schuylkill,2015 Q1
Tremont Police Dept,1,1,1,100,Schuylkill,2015 Q1
Walker Township Police Dept,,,,,Schuylkill,
West Mahanoy Township Police Dept,12,8,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q1
West Penn Township Police Dept,3,1,0.3333333333333333,33.33333333333333,Schuylkill,2015 Q1
