Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Ashland Boro Police Dept,36,19,0.5277777777777778,52.77777777777778,Schuylkill,2015 Q4
Branch Township Police Dept,3,3,1,100,Schuylkill,2015 Q4
Butler Township Police Dept,15,11,0.7333333333333333,73.33333333333333,Schuylkill,2015 Q4
Cass Township Police Dept,1,0,0,0,Schuylkill,2015 Q4
Coaldale Police Dept,11,5,0.45454545454545453,45.45454545454545,Schuylkill,2015 Q4
East Union Township Police Dept,2,1,0.5,50,Schuylkill,2015 Q4
Frackville Boro Police Dept,33,22,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q4
Girardville Police Dept,4,3,0.75,75,Schuylkill,2015 Q4
Hegins Township Police Dept,4,3,0.75,75,Schuylkill,2015 Q4
Kline Township Police Dept,6,3,0.5,50,Schuylkill,2015 Q4
Mahanoy City Police Dept,50,18,0.36,36,Schuylkill,2015 Q4
Mahanoy Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Schuylkill,2015 Q4
Mcadoo Police Dept,18,14,0.7777777777777778,77.77777777777779,Schuylkill,2015 Q4
Minersville Police Dept,39,28,0.717948717948718,71.7948717948718,Schuylkill,2015 Q4
Orwigsburg Police Dept,4,3,0.75,75,Schuylkill,2015 Q4
Pine Grove Boro Police Dept,3,1,0.3333333333333333,33.33333333333333,Schuylkill,2015 Q4
Port Carbon Police Dept,6,2,0.3333333333333333,33.33333333333333,Schuylkill,2015 Q4
Pottsville Police Dept,149,93,0.6241610738255033,62.41610738255034,Schuylkill,2015 Q4
Reilly Township Police Dept,1,1,1,100,Schuylkill,2015 Q4
Rush Township Police Dept,44,19,0.4318181818181818,43.18181818181818,Schuylkill,2015 Q4
Ryan Township Police Dept,1,1,1,100,Schuylkill,2015 Q4
Schuylkill County District Attorney,6,4,0.6666666666666666,66.66666666666666,Schuylkill,2015 Q4
Schuylkill Haven Police Dept,67,43,0.6417910447761194,64.17910447761194,Schuylkill,2015 Q4
Shenandoah Police Dept,85,50,0.5882352941176471,58.82352941176471,Schuylkill,2015 Q4
St Clair Police Dept,23,7,0.30434782608695654,30.434782608695656,Schuylkill,2015 Q4
Tamaqua Police Dept,46,19,0.41304347826086957,41.30434782608695,Schuylkill,2015 Q4
Tower City Police Dept,20,13,0.65,65,Schuylkill,2015 Q4
Walker Township Police Dept,1,1,1,100,Schuylkill,2015 Q4
West Mahanoy Township Police Dept,13,6,0.46153846153846156,46.15384615384615,Schuylkill,2015 Q4
West Penn Township Police Dept,6,2,0.3333333333333333,33.33333333333333,Schuylkill,2015 Q4
