Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Berlin Boro Police Dept,4,4,1,100,Somerset,2015 Q3
Boswell Boro Police Dept,1,1,1,100,Somerset,2015 Q3
Conemaugh Township Police Dept,15,12,0.8,80,Somerset,2015 Q3
Hooversville Boro Police Dept,2,2,1,100,Somerset,2015 Q3
Jennerstown Boro Police Dept,3,3,1,100,Somerset,2015 Q3
Meyersdale Boro Police Dept,4,3,0.75,75,Somerset,2015 Q3
Paint Township Police Dept,1,1,1,100,Somerset,2015 Q3
Rockwood Boro Police Dept,1,1,1,100,Somerset,2015 Q3
Shade Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Somerset,2015 Q3
Somerset Boro Police Dept,32,20,0.625,62.5,Somerset,2015 Q3
Somerset County District Attorney,13,9,0.6923076923076923,69.23076923076923,Somerset,2015 Q3
Somerset County Sheriff,1,0,0,0,Somerset,2015 Q3
"Somerset County, Detectives",4,3,0.75,75,Somerset,2015 Q3
Summit Township Police Dept,1,0,0,0,Somerset,2015 Q3
Windber Boro Police Dept,32,29,0.90625,90.625,Somerset,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
