Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Forest City Boro Police Dept,11,8,0.7272727272727273,72.72727272727273,Susquehanna,2015 Q3
Great Bend Police Department,3,2,0.6666666666666666,66.66666666666666,Susquehanna,2015 Q3
Hop Bottom Boro Police Dept,1,0,0,0,Susquehanna,2015 Q3
Lanesboro Boro Police Dept,1,0,0,0,Susquehanna,2015 Q3
Montrose Boro Police Dept,7,2,0.2857142857142857,28.57142857142857,Susquehanna,2015 Q3
Oakland Boro Police Dept,1,0,0,0,Susquehanna,2015 Q3
Susquehanna Boro Police Dept,4,1,0.25,25,Susquehanna,2015 Q3
"Susquehanna County, Detectives",27,25,0.9259259259259259,92.5925925925926,Susquehanna,2015 Q3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
