Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Blossburg Boro Police Dept,3,2,0.6666666666666666,66.66666666666666,Tioga,2015 Q2
Elkland Boro Police Dept,5,1,0.2,20,Tioga,2015 Q2
Gaines Township Police Dept,1,1,1,100,Tioga,2015 Q2
Lawrence Township Police Dept,4,0,0,0,Tioga,2015 Q2
Lawrenceville Boro Police Dept,5,0,0,0,Tioga,2015 Q2
Mansfield Boro Police Dept,9,3,0.3333333333333333,33.33333333333333,Tioga,2015 Q2
"Mansfield, University PD",3,3,1,100,Tioga,2015 Q2
Tioga Boro Police Dept,2,1,0.5,50,Tioga,2015 Q2
"Tioga County, Detectives",1,1,1,100,Tioga,2015 Q2
Wellsboro Boro Police Dept,32,31,0.96875,96.875,Tioga,2015 Q2
Westfield Boro Police Dept,10,3,0.3,30,Tioga,2015 Q2
