Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bentleyville Boro Police Dept,9,7,0.7777777777777778,77.77777777777779,Washington,2015 Q3
California Boro Police Dept,31,27,0.8709677419354839,87.09677419354838,Washington,2015 Q3
"California, University PD",4,4,1,100,Washington,2015 Q3
Canonsburg Boro Police Dept,33,30,0.9090909090909091,90.9090909090909,Washington,2015 Q3
Carroll Township Police Dept,25,22,0.88,88,Washington,2015 Q3
Cecil Township Police Dept,41,39,0.9512195121951219,95.1219512195122,Washington,2015 Q3
Centerville Boro Police Dept,2,1,0.5,50,Washington,2015 Q3
Charleroi Regional Police Department,65,43,0.6615384615384615,66.15384615384615,Washington,2015 Q3
Chartiers Township Police Dept,18,15,0.8333333333333334,83.33333333333334,Washington,2015 Q3
Donegal Township Police Dept,10,9,0.9,90,Washington,2015 Q3
Donora Police Dept,48,40,0.8333333333333334,83.33333333333334,Washington,2015 Q3
East Bethlehem Township Police Dept,10,8,0.8,80,Washington,2015 Q3
East Washington Boro Police Dept,5,5,1,100,Washington,2015 Q3
Hanover Township Police Dept,19,15,0.7894736842105263,78.94736842105263,Washington,2015 Q3
Intermediate Unit 1 School PD,3,2,0.6666666666666666,66.66666666666666,Washington,2015 Q3
McDonald Boro Police Dept,28,26,0.9285714285714286,92.85714285714286,Washington,2015 Q3
Monongahela City Police Dept,53,51,0.9622641509433962,96.22641509433963,Washington,2015 Q3
Mt Pleasant Township Police Dept,10,8,0.8,80,Washington,2015 Q3
North Franklin Township Police Dept,16,12,0.75,75,Washington,2015 Q3
North Strabane Township Police Dept,44,40,0.9090909090909091,90.9090909090909,Washington,2015 Q3
Peters Township Police Dept,36,28,0.7777777777777778,77.77777777777779,Washington,2015 Q3
Resa Regional Police Dept,9,7,0.7777777777777778,77.77777777777779,Washington,2015 Q3
Smith Township Police Dept,17,12,0.7058823529411765,70.58823529411765,Washington,2015 Q3
South Strabane Police Dept,130,112,0.8615384615384616,86.15384615384616,Washington,2015 Q3
Southwest Regl Police Dept,4,2,0.5,50,Washington,2015 Q3
Washington City Police Dept,108,82,0.7592592592592593,75.92592592592592,Washington,2015 Q3
Washington County Sheriff,2,1,0.5,50,Washington,2015 Q3
"Washington County, Detectives",29,27,0.9310344827586207,93.10344827586206,Washington,2015 Q3
West Brownsville Police Dept,11,11,1,100,Washington,2015 Q3
West Pike Run Township Police Dept,1,1,1,100,Washington,2015 Q3
