PDID,county,PD,TP,P,NP,rate
5,Washington,California Boro Police Dept,38,33,5,87%
5,Washington,"California, University PD",99,86,13,87%
5,Washington,Canonsburg Boro Police Dept,54,48,6,89%
5,Washington,Carroll Township Police Dept,118,108,10,92%
5,Washington,Cecil Township Police Dept,80,73,7,91%
5,Washington,Centerville Boro Police Dept,105,91,14,87%
5,Washington,Chartiers Township Police Dept,98,73,25,74%
5,Washington,Donegal Township Police Dept,147,108,39,73%
5,Washington,Donora Police Dept,87,81,6,93%
5,Washington,East Bethlehem Township Police Dept,63,55,8,87%
5,Washington,East Washington Boro Police Dept,104,87,17,84%
5,Washington,Hanover Township Police Dept,36,31,5,86%
5,Washington,Houston Borough Police Dept,23,19,4,83%
5,Washington,McDonald Boro Police Dept,68,56,12,82%
5,Washington,McGuffey School District Police Dept,77,69,8,90%
5,Washington,Monongahela City Police Dept,127,119,8,94%
5,Washington,Mt Pleasant Township Police Dept,121,116,5,96%
5,Washington,North Franklin Township Police Dept,61,48,13,79%
5,Washington,North Strabane Township Police Dept,108,98,10,91%
5,Washington,Peters Township Police Dept,162,144,18,89%
5,Washington,Resa Regional Police Dept,98,80,18,82%
5,Washington,Ringgold School District Police,22,16,6,73%
5,Washington,Smith Township Police Dept,48,36,12,75%
5,Washington,South Strabane Police Dept,450,395,55,88%
5,Washington,Southwest Regl Police Dept,22,18,4,82%
5,Washington,Washington City Police Dept,445,350,95,79%
5,Washington,Washington County Sheriff,31,24,7,77%
5,Washington,"Washington County, Detectives",88,75,13,85%
5,Washington,West Brownsville Police Dept,49,40,9,82%
