Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Bentleyville Boro Police Dept,6,5,0.8333333333333334,83.33333333333334,Washington,2015 Q2
California Boro Police Dept,36,29,0.8055555555555556,80.55555555555556,Washington,2015 Q2
"California, University PD",11,8,0.7272727272727273,72.72727272727273,Washington,2015 Q2
Canonsburg Boro Police Dept,31,29,0.9354838709677419,93.54838709677419,Washington,2015 Q2
Carroll Township Police Dept,12,11,0.9166666666666666,91.66666666666666,Washington,2015 Q2
Cecil Township Police Dept,25,21,0.84,84,Washington,2015 Q2
Centerville Boro Police Dept,7,5,0.7142857142857143,71.42857142857143,Washington,2015 Q2
Charleroi Regional Police Department,78,56,0.717948717948718,71.7948717948718,Washington,2015 Q2
Chartiers Township Police Dept,4,4,1,100,Washington,2015 Q2
Donegal Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Washington,2015 Q2
Donora Police Dept,39,33,0.8461538461538461,84.61538461538461,Washington,2015 Q2
East Bethlehem Township Police Dept,10,8,0.8,80,Washington,2015 Q2
East Washington Boro Police Dept,3,3,1,100,Washington,2015 Q2
Hanover Township Police Dept,6,4,0.6666666666666666,66.66666666666666,Washington,2015 Q2
Houston Borough Police Dept,2,2,1,100,Washington,2015 Q2
McDonald Boro Police Dept,31,28,0.9032258064516129,90.32258064516128,Washington,2015 Q2
McGuffey School District Police Dept,1,1,1,100,Washington,2015 Q2
Monongahela City Police Dept,48,48,1,100,Washington,2015 Q2
Mt Pleasant Township Police Dept,14,12,0.8571428571428571,85.71428571428571,Washington,2015 Q2
North Franklin Township Police Dept,11,9,0.8181818181818182,81.81818181818183,Washington,2015 Q2
North Strabane Township Police Dept,33,31,0.9393939393939394,93.93939393939394,Washington,2015 Q2
Peters Township Police Dept,50,43,0.86,86,Washington,2015 Q2
Resa Regional Police Dept,9,6,0.6666666666666666,66.66666666666666,Washington,2015 Q2
Smith Township Police Dept,6,5,0.8333333333333334,83.33333333333334,Washington,2015 Q2
South Strabane Police Dept,82,79,0.9634146341463414,96.34146341463415,Washington,2015 Q2
Southwest Regl Police Dept,5,5,1,100,Washington,2015 Q2
Washington City Police Dept,108,85,0.7870370370370371,78.70370370370371,Washington,2015 Q2
Washington County Sheriff,6,4,0.6666666666666666,66.66666666666666,Washington,2015 Q2
"Washington County, Detectives",20,15,0.75,75,Washington,2015 Q2
West Brownsville Police Dept,16,13,0.8125,81.25,Washington,2015 Q2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
