PDID,county,PD,TP,P,NP,rate
1,Wayne,"Dept Corrections, Central",2,2,0,100%
2,Wayne,Hawley Boro Police Dept,18,13,5,72%
3,Wayne,Honesdale Police Dept,95,81,14,85%
4,Wayne,Lehigh Township Police Dept,23,14,9,61%
5,Wayne,Waymart Boro Police Dept,23,17,6,74%
6,Wayne,"Wayne County, Detectives",49,40,9,82%
7,0,0,0,0,0,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,0,0,0,0,0,
12,0,0,0,0,0,
13,0,0,0,0,0,
14,0,0,0,0,0,
15,0,0,0,0,0,
16,0,0,0,0,0,
17,0,0,0,0,0,
18,0,0,0,0,0,
19,0,0,0,0,0,
20,0,0,0,0,0,
21,0,0,0,0,0,
22,0,0,0,0,0,
23,0,0,0,0,0,
