Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Allegheny Township Police Dept,43,28,0.6511627906976745,65.11627906976744,Westmoreland,2015 Q3
Arnold City Police Dept,65,36,0.5538461538461539,55.38461538461539,Westmoreland,2015 Q3
Delmont Boro Police Dept,9,2,0.2222222222222222,22.22222222222222,Westmoreland,2015 Q3
Derry Boro Police Dept,17,7,0.4117647058823529,41.17647058823529,Westmoreland,2015 Q3
Greensburg City Police Dept,122,116,0.9508196721311475,95.08196721311475,Westmoreland,2015 Q3
Irwin Boro Police Dept,8,5,0.625,62.5,Westmoreland,2015 Q3
Jeannette City Police Dept,59,33,0.559322033898305,55.932203389830505,Westmoreland,2015 Q3
Latrobe City Police Dept,41,33,0.8048780487804879,80.48780487804879,Westmoreland,2015 Q3
Ligonier Boro Police Dept,5,3,0.6,60,Westmoreland,2015 Q3
Ligonier Township Police Dept,4,2,0.5,50,Westmoreland,2015 Q3
Lower Burrell Police Dept,60,48,0.8,80,Westmoreland,2015 Q3
Manor Police Dept,4,0,0,0,Westmoreland,2015 Q3
Monessen City Police Dept,78,51,0.6538461538461539,65.38461538461539,Westmoreland,2015 Q3
Mt Pleasant Borough Police Dept,16,7,0.4375,43.75,Westmoreland,2015 Q3
Murrysville Police Dept,54,47,0.8703703703703703,87.03703703703704,Westmoreland,2015 Q3
N Belle Vernon Police Dept,8,5,0.625,62.5,Westmoreland,2015 Q3
N Huntingdon Township Police Dept,156,131,0.8397435897435898,83.97435897435898,Westmoreland,2015 Q3
New Kensington Police Dept,105,89,0.8476190476190476,84.76190476190476,Westmoreland,2015 Q3
Penn Township Police Dept,63,58,0.9206349206349206,92.06349206349206,Westmoreland,2015 Q3
Rostraver Township Police Dept,89,80,0.898876404494382,89.8876404494382,Westmoreland,2015 Q3
S Greensburg Police Dept,6,5,0.8333333333333334,83.33333333333334,Westmoreland,2015 Q3
Scottdale Boro Police Dept,21,10,0.47619047619047616,47.61904761904761,Westmoreland,2015 Q3
Seward Boro Police Dept,2,2,1,100,Westmoreland,2015 Q3
Smithton Boro Police Dept,2,0,0,0,Westmoreland,2015 Q3
Sw Greensburg Police Dept,19,12,0.631578947368421,63.1578947368421,Westmoreland,2015 Q3
Trafford Boro Police Dept,27,0,0,0,Westmoreland,2015 Q3
Upper Burrell Police Dept,12,12,1,100,Westmoreland,2015 Q3
Vandergrift Boro Police Dept,34,6,0.17647058823529413,17.647058823529413,Westmoreland,2015 Q3
Washington Township Police Dept,16,14,0.875,87.5,Westmoreland,2015 Q3
West Leechburg Boro Police Dept,1,1,1,100,Westmoreland,2015 Q3
West Newton Boro Police Dept,5,2,0.4,40,Westmoreland,2015 Q3
Westmoreland County Detectives,24,19,0.7916666666666666,79.16666666666666,Westmoreland,2015 Q3
Westmoreland County Sheriff,9,2,0.2222222222222222,22.22222222222222,Westmoreland,2015 Q3
"Westmoreland County, Park Police",5,4,0.8,80,Westmoreland,2015 Q3
