Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Dalton Boro Police Dept,0,0,,,Wyoming,
Meshoppen Boro Police Dept,39,34,0.8717948717948718,87.17948717948718,Wyoming,2015 Q1
Tunkhannock Boro Police Dept,10,6,0.6,60,Wyoming,2015 Q1
Tunkhannock Township Police Dept,18,16,0.8888888888888888,88.88888888888889,Wyoming,2015 Q1
Wyoming County Sheriff,1,1,1,100,Wyoming,2015 Q1
"Wyoming County, Detectives",15,13,0.8666666666666667,86.66666666666667,Wyoming,2015 Q1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
