Agency,Total,Printed,Match Rate Orig,Rate,County,Release
Carroll Township Police Dept,36,36,1,100,York,2015 Q1
Fairview Township Police Dept,36,32,0.8888888888888888,88.88888888888889,York,2015 Q1
Hanover Boro Police Dept,121,118,0.9752066115702479,97.52066115702479,York,2015 Q1
Hellam Township Police Dept,29,27,0.9310344827586207,93.10344827586206,York,2015 Q1
Lower Paxton Township Police Dept,1,1,1,100,York,2015 Q1
Lower Windsor Township Police Dept,22,21,0.9545454545454546,95.45454545454545,York,2015 Q1
Newberry Township Police Dept,84,81,0.9642857142857143,96.42857142857143,York,2015 Q1
North Hopewell Township Police Dept,1,1,1,100,York,2015 Q1
Northeastern Regl Police Dept,57,53,0.9298245614035088,92.98245614035088,York,2015 Q1
Northern York Regl Police Dept,284,271,0.954225352112676,95.4225352112676,York,2015 Q1
Penn Township Police Dept,60,57,0.95,95,York,2015 Q1
Southern Regional Police Dept,53,47,0.8867924528301887,88.67924528301887,York,2015 Q1
Southwestern Regl Police Dept,23,22,0.9565217391304348,95.65217391304348,York,2015 Q1
Spring Garden Township Police Dept,36,35,0.9722222222222222,97.22222222222221,York,2015 Q1
Springettsbury Township Police Dept,290,267,0.9206896551724137,92.06896551724138,York,2015 Q1
West Manchester Township Police Dept,150,136,0.9066666666666666,90.66666666666666,York,2015 Q1
West Manheim Township Police Dept,81,77,0.9506172839506173,95.06172839506173,York,2015 Q1
West York Boro Police Dept,75,71,0.9466666666666667,94.66666666666667,York,2015 Q1
Wrightsville Boro Police Dept,32,32,1,100,York,2015 Q1
York Area Regional Police Dept,158,145,0.9177215189873418,91.77215189873418,York,2015 Q1
York City Police Dept,420,371,0.8833333333333333,88.33333333333333,York,2015 Q1
York County Sheriff,10,9,0.9,90,York,2015 Q1
"York County, Detectives",10,9,0.9,90,York,2015 Q1
