,,,,,,
59,Beaver,Aliquippa City Police Dept,263,256,7,97%
,Beaver,Ambridge Boro Police Dept,237,231,6,97%
,Beaver,Baden Boro Police Dept,88,81,7,92%
,Beaver,Beaver Boro Police Dept,58,56,2,97%
,Beaver,Beaver County Sheriff,20,20,0,100%
,Beaver,"Beaver County, Detectives",60,59,1,98%
,Beaver,Beaver Falls Police Dept,349,332,17,95%
,Beaver,Bridgewater Police Dept,21,21,0,100%
,Beaver,Brighton Township Police Dept,43,41,2,95%
,Beaver,Center Township Police Dept,361,348,13,96%
,Beaver,Chippewa Township Police Dept,187,184,3,98%
,Beaver,Conway Boro Police Dept,62,61,1,98%
,Beaver,Darlington Township Police Dept,13,13,0,100%
,Beaver,Economy Boro Police Dept,132,129,3,98%
,Beaver,Ellwood City Boro Police Dept,12,11,1,92%
,Beaver,Franklin Township Police Dept,36,32,4,89%
,Beaver,Freedom Borough Police Dept,22,22,0,100%
,Beaver,Harmony Township Police Dept,81,78,3,96%
,Beaver,Hopewell Township Police Dept,121,119,2,98%
,Beaver,Independence Township Police Dept,10,10,0,100%
,Beaver,Koppel Boro Police Dept,16,16,0,100%
,Beaver,Marion Township Police Dept,4,4,0,100%
,Beaver,Midland Boro Police Dept,143,137,6,96%
,Beaver,Monaca Boro Police Dept,151,151,0,100%
,Beaver,New Brighton Police Dept,252,243,9,96%
,Beaver,New Sewickley Township Police Dept,119,115,4,97%
,Beaver,North Sewickley Township Police Dept,61,59,2,97%
,Beaver,Ohioville Boro Police Dept,24,23,1,96%
,Beaver,Patterson Township Police Dept,61,59,2,97%
,Beaver,Penn State Univer Police Dept,1,1,0,100%
,Beaver,Raccoon Township Police Dept,17,17,0,100%
,Beaver,Rochester Borough Police Dept,310,299,11,96%
,Beaver,Rochester Township Police Dept,74,71,3,96%
,Beaver,Shippingport Boro Police Dept,,,,
,Beaver,South Beaver Township Police Dept,24,21,3,88%
,Beaver,South Heights Boro Police Dept,1,1,0,100%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,,,,
