ID,county,PD,TP,P,NP,rate
29,Lebanon,Annville Township Police Dept,70,67,3,96%
29,Lebanon,Cleona Boro Police Dept,6,5,1,83%
29,Lebanon,Cornwall Boro Police Dept,29,28,1,97%
29,Lebanon,Fort Indiantown Police Dept,15,14,1,93%
29,Lebanon,Lebanon City Police Dept,759,722,37,95%
29,Lebanon,"Lebanon County, Detectives",142,136,6,96%
29,Lebanon,Myerstown Police Dept,7,7,0,100%
29,Lebanon,N Annville Township Police Dept,2,2,0,100%
29,Lebanon,N Lebanon Township Police Dept,300,295,5,98%
29,Lebanon,N Londonderry Township Police Dept,131,127,4,97%
29,Lebanon,North Cornwall Township Police Dept,117,111,6,95%
29,Lebanon,Palmyra Boro Police Dept,126,125,1,99%
29,Lebanon,S Lebanon Township Police Dept,64,62,2,97%
29,Lebanon,S Londonderry Township Police Dept,55,52,3,95%
29,Lebanon,South Annville Township Police Dept,7,6,1,86%
